,time,period,step,zon,storage_in,ch_in,wells_in,river_in,hd_in,recharge_in,other_zones_in,total_in,stoarge_out,ch_out,wells_out,river_out,hd_out,recharge_out,other_zones_out,total_out,in_out,perecent_error,z1_in,z2_in,z3_in,z4_in,z5_in,z6_in,z7_in,z1_out,z2_out,z3_out,z4_out,z5_out,z6_out,z7_out,river_contribution,river_contribution_2,river_contribution_3,well_contribution,total_contribution,storage_contribution,river_corrected,river_percentage
0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,208000.0,0.0,212.0,87700.0,295000.0,0.0,0.0,263000.0,6980.0,0.0,0.0,25500.0,295000.0,1.25,0.0,0.0,1690.0,0.0,0.0,0.0,0.0,86000.0,0.0,951.0,0.0,0.0,0.0,0.0,24600.0,-99.20912547528518,70.50847457627118,0.00023661016949152541,89.15254237288136,0.7908745247148289,0.0,0.0,0.0
1,0.1,2.0,1.0,1.0,61.5,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,13.6,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-21.3,-0.01,0.0,1690.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,4.610169491525424e-05,1000.0,0.38022813688212925
2,0.2,2.0,2.0,1.0,53.6,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,13.8,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-24.2,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,4.677966101694915e-05,1000.0,0.38022813688212925
3,0.3,2.0,3.0,1.0,52.5,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,14.6,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-23.5,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,4.9491525423728815e-05,1000.0,0.38022813688212925
4,0.4,2.0,4.0,1.0,46.6,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,15.3,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-26.7,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,5.186440677966102e-05,1000.0,0.38022813688212925
5,0.5,2.0,5.0,1.0,45.8,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,16.0,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-27.4,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,5.423728813559322e-05,1000.0,0.38022813688212925
6,0.6,2.0,6.0,1.0,45.1,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,15.8,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-26.0,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,5.355932203389831e-05,1000.0,0.38022813688212925
7,0.7,2.0,7.0,1.0,44.5,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,16.6,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-26.2,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,5.627118644067797e-05,1000.0,0.38022813688212925
8,0.8,2.0,8.0,1.0,44.6,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,15.8,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-23.9,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,5.355932203389831e-05,1000.0,0.38022813688212925
9,0.9,2.0,9.0,1.0,41.9,0.0,0.0,207000.0,0.0,212.0,87700.0,295000.0,15.5,0.0,263000.0,6970.0,0.0,0.0,25500.0,295000.0,-25.0,-0.01,0.0,1700.0,0.0,0.0,0.0,0.0,86000.0,0.0,950.0,0.0,0.0,0.0,0.0,24600.0,-99.212927756654,70.16949152542374,0.00023627118644067797,89.15254237288136,0.7870722433460077,5.254237288135593e-05,1000.0,0.38022813688212925
