time,period,step,zon,storage_in,ch_in,wells_in,river_in,hd_in,recharge_in,other_zones_in,total_in,stoarge_out,ch_out,wells_out,river_out,hd_out,recharge_out,other_zones_out,total_out,in_out,perecent_error,z1_in,z2_in,z3_in,z4_in,z5_in,z6_in,z7_in,z1_out,z2_out,z3_out,z4_out,z5_out,z6_out,z7_out
0,1,1,1,0.00E+00,0.00E+00,0.00E+00,2.08E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,0.00E+00,0.00E+00,2.63E+05,6.98E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,1.25,0,0.00E+00,1.69E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.51E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.1,2,1,1,6.15E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.36E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-21.30,-0.01,0.00E+00,1.69E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.2,2,2,1,5.36E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.38E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-24.20,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.3,2,3,1,5.25E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.46E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-23.50,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.4,2,4,1,4.66E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.53E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-26.70,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.5,2,5,1,4.58E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.60E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-27.40,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.6,2,6,1,4.51E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.58E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-26.00,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.7,2,7,1,4.45E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.66E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-26.20,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.8,2,8,1,4.46E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.58E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-23.90,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
0.9,2,9,1,4.19E+01,0.00E+00,0.00E+00,2.07E+05,0.00E+00,2.12E+02,8.77E+04,2.95E+05,1.55E+01,0.00E+00,2.63E+05,6.97E+03,0.00E+00,0.00E+00,2.55E+04,2.95E+05,-25.00,-0.01,0.00E+00,1.70E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E+04,0.00E+00,9.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.46E+04
