time,period,step,zone,storage_in,ch_in,wells_in,river_in,hd_in,recharge_in,other_zones_in,total_in,storage_out,ch_out,wells_out,river_out,hd_out,recharge_out,other_zones_out,total_out,in_out,percent_error,z1_in,z2_in,z3_in,z4_in,z5_in,z6_in,z7_in,z1_out,z2_out,z3_out,z4_out,z5_out,z6_out,z7_out
0.00,1.00,1.00,1.00,0.00,0.00,0.00,192169.70,0.00,2.08,95907.47,288079.20,0.00,0.00,262905.10,91.37,0.00,0.00,25082.70,288079.20,0.08,0.00,0.00,2012.25,0.00,0.00,0.00,0.00,93895.22,0.00,617.16,0.00,0.00,0.00,0.00,24465.54
0.10,2.00,1.00,1.00,17.50,0.00,0.00,192196.30,0.00,2.08,95908.37,288124.30,14.00,0.00,262905.10,91.34,0.00,0.00,25082.67,288093.10,31.17,0.01,0.00,2012.26,0.00,0.00,0.00,0.00,93896.12,0.00,617.09,0.00,0.00,0.00,0.00,24465.58
0.20,2.00,2.00,1.00,15.50,0.00,0.00,192196.80,0.00,2.08,95908.44,288122.90,14.00,0.00,262905.10,91.34,0.00,0.00,25082.69,288093.10,29.73,0.01,0.00,2012.27,0.00,0.00,0.00,0.00,93896.17,0.00,617.08,0.00,0.00,0.00,0.00,24465.61
0.30,2.00,3.00,1.00,15.13,0.00,0.00,192197.10,0.00,2.08,95908.43,288122.80,14.25,0.00,262905.10,91.34,0.00,0.00,25082.76,288093.40,29.34,0.01,0.00,2012.27,0.00,0.00,0.00,0.00,93896.16,0.00,617.08,0.00,0.00,0.00,0.00,24465.68
0.40,2.00,4.00,1.00,15.00,0.00,0.00,192197.20,0.00,2.08,95908.44,288122.80,14.38,0.00,262905.10,91.34,0.00,0.00,25082.75,288093.60,29.21,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.17,0.00,617.08,0.00,0.00,0.00,0.00,24465.68
0.50,2.00,5.00,1.00,15.13,0.00,0.00,192197.20,0.00,2.08,95908.47,288122.90,14.25,0.00,262905.10,91.34,0.00,0.00,25082.75,288093.40,29.49,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.19,0.00,617.08,0.00,0.00,0.00,0.00,24465.67
0.60,2.00,6.00,1.00,15.00,0.00,0.00,192197.30,0.00,2.08,95908.52,288122.90,14.25,0.00,262905.10,91.34,0.00,0.00,25082.76,288093.40,29.41,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.24,0.00,617.08,0.00,0.00,0.00,0.00,24465.69
0.70,2.00,7.00,1.00,14.88,0.00,0.00,192197.30,0.00,2.08,95908.57,288122.80,14.25,0.00,262905.10,91.34,0.00,0.00,25082.72,288093.40,29.40,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.29,0.00,617.08,0.00,0.00,0.00,0.00,24465.64
0.80,2.00,8.00,1.00,15.13,0.00,0.00,192197.30,0.00,2.08,95908.59,288123.10,14.25,0.00,262905.10,91.34,0.00,0.00,25082.74,288093.40,29.66,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.31,0.00,617.08,0.00,0.00,0.00,0.00,24465.66
0.90,2.00,9.00,1.00,14.88,0.00,0.00,192197.40,0.00,2.08,95908.72,288123.00,14.25,0.00,262905.10,91.34,0.00,0.00,25082.67,288093.30,29.70,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.44,0.00,617.08,0.00,0.00,0.00,0.00,24465.59
1.00,2.00,10.00,1.00,15.00,0.00,0.00,192197.40,0.00,2.08,95908.80,288123.30,14.38,0.00,262905.10,91.34,0.00,0.00,25082.66,288093.50,29.80,0.01,0.00,2012.28,0.00,0.00,0.00,0.00,93896.53,0.00,617.08,0.00,0.00,0.00,0.00,24465.58
