Date,CL-80C,Airport,R20-95-06,R20-2015-06,R20-2015-07,R20-2015-08,R20-2015-09,R20-2015-10,min_riv,max_riv,avg_riv,north_group,middle_group,south_group
3/4/2015,1119.74,1119.98,1119.95,1118.28,1122.02,1120.67,1120.13,1120.71,1119.34,1119.74,1119.54,3.2,2.9,3.6
3/5/2015,1119.74,1119.99,1119.98,1118.28,1122.04,1120.69,1120.13,1120.7,1119.32,1119.44,1119.38,3.2,3.2,3.9
3/6/2015,1119.73,1119.98,1119.98,1117.93,1122.02,1120.68,1120.09,1120.65,1119.33,1119.38,1119.355,3.6,3.6,4.4
3/7/2015,---,---,---,---,---,---,---,---,1119.32,1119.38,1119.35,4,3.7,4.6
3/8/2015,---,---,---,---,---,---,---,---,1119.32,1119.39,1119.355,2.3,1.1,1.3
3/9/2015,1119.7,1119.96,1119.97,1118.03,1121.96,1120.66,1120.01,1120.55,1119.3,1119.38,1119.34,3.6,3.5,4.3
3/10/2015,1119.69,1119.96,1119.96,1117.75,1121.94,1120.66,1120,1120.51,1119.29,1119.37,1119.33,3.9,3.8,4.7
3/11/2015,1119.68,1119.95,1119.95,1117.75,1121.94,1120.65,1119.96,1120.48,1119.29,1119.35,1119.32,3.8,3.6,4.5
3/12/2015,1119.67,1119.94,1119.95,1117.72,1121.92,1120.65,1119.94,1120.46,1119.29,1119.35,1119.32,3.4,3.2,4
3/13/2015,1119.66,1119.94,1119.95,1117.96,1121.86,1120.61,1119.89,1120.44,1119.28,1119.36,1119.32,3.4,3.3,4.1
3/14/2015,---,---,---,---,---,---,---,---,1119.25,1119.33,1119.29,3,2.9,3.6
3/15/2015,---,---,---,---,---,---,---,---,1119.21,1119.33,1119.27,3.1,3,3.8
3/16/2015,1119.64,1119.91,1119.91,1117.87,1121.79,1120.59,1119.85,1120.36,1119.23,1119.34,1119.285,3.5,3.4,4.2
3/17/2015,1119.62,1119.9,1119.9,1117.89,1121.85,1120.58,1119.86,1120.38,1119.2,1119.87,1119.535,3.2,3.1,3.8
3/18/2015,1119.62,1119.91,1119.9,1117.79,1121.87,1120.58,1119.85,1120.45,1119.86,1120.39,1120.125,3.3,3.2,4
3/19/2015,1119.62,1119.9,1119.91,1117.88,1121.87,1120.57,1119.84,1120.59,1120.38,1120.94,1120.66,2.8,2.7,3.4
3/20/2015,1119.61,1119.89,1119.9,1117.93,1121.91,1120.55,1119.87,1120.72,1120.91,1120.99,1120.95,3.8,3.6,4.5
3/21/2015,---,---,---,---,---,---,---,---,1120.9,1121.05,1120.975,3.3,3.2,4
3/22/2015,---,---,---,---,---,---,---,---,1121.01,1121.24,1121.125,3.5,3.3,4.1
3/23/2015,1119.58,1119.89,1119.87,1117.83,1122.03,1120.53,1119.93,1120.96,1121.15,1121.21,1121.18,1,2.1,2.6
3/24/2015,1119.58,1119.88,1119.86,1117.87,1122.06,1120.53,1119.96,1121.04,1121.14,1121.26,1121.2,3.6,3.5,4.3
3/25/2015,1119.57,1119.89,1119.85,1117.86,1122.08,1120.51,1119.98,1121.09,1121.15,1121.26,1121.205,3.2,3.1,3.9
3/26/2015,1119.56,1119.9,1119.84,1118.14,1122.11,1120.51,1119.99,1121.16,1121.16,1121.21,1121.185,4.1,3.9,4.9
3/27/2015,1119.56,1119.91,1119.84,1117.9,1122.14,1120.51,1120.01,1121.18,1121.15,1121.21,1121.18,4.1,3.9,4.9
3/28/2015,---,---,---,---,---,---,---,---,1121.14,1121.19,1121.165,3.6,3.5,4.3
3/29/2015,---,---,---,---,---,---,---,---,1121.1,1121.27,1121.185,3.9,3.8,4.7
3/30/2015,1119.55,1119.93,1119.84,1117.97,1122.21,1120.5,1120.09,1121.29,1121.11,1121.21,1121.16,3,2.9,3.6
3/31/2015,1119.54,1119.93,1119.83,1118.04,1122.23,1120.49,1120.12,1121.33,1121.12,1121.2,1121.16,3.8,3.6,4.5
4/1/2015,1119.55,1119.93,1119.83,1118.03,1122.25,1120.49,1120.14,1121.35,1121.11,1121.19,1121.15,3.5,3.3,4.1
4/2/2015,1119.54,1119.93,1119.82,1118.03,1122.26,1120.49,1120.15,1121.37,1121.15,1121.23,1121.19,3.7,3.6,4.5
4/3/2015,1119.51,1119.92,1119.8,1118.37,1122.25,1120.47,1120.21,1121.4,1121.06,1121.17,1121.115,3.6,3.5,4.3
4/4/2015,---,---,---,---,---,---,---,---,1120.95,1121.04,1120.995,3.9,3.7,4.6
4/5/2015,---,---,---,---,---,---,---,---,1120.94,1121.01,1120.975,3.3,3.2,4
4/6/2015,1119.51,1119.95,1119.79,1118.13,1122.3,1120.46,1120.22,1121.41,1120.87,1121.03,1120.95,3.1,3,3.7
4/7/2015,1119.51,1119.95,1119.78,1118.13,1122.31,1120.45,1120.23,1121.42,1120.87,1121.05,1120.96,3.3,3.2,4
4/26/2015,---,---,---,---,---,---,---,---,1120.32,1120.36,1120.34,3.8,3.7,4.6
4/27/2015,1119.45,1119.9,1119.71,1117.73,1122.16,1120.4,1120.02,1121,1120.32,1120.38,1120.35,3.9,3.7,4.6
4/28/2015,1119.45,1119.89,1119.72,1117.56,1122.13,1120.4,1119.95,1120.95,1120.29,1120.37,1120.33,5.9,5.7,7.1
4/29/2015,1119.44,1119.89,1119.71,1117.51,1122.1,1120.4,1119.92,1120.92,1120.29,1120.38,1120.335,4.8,4.6,5.7
4/30/2015,1119.44,1119.89,1119.7,1117.44,1122.08,1120.39,1119.87,1120.89,1120.36,1120.55,1120.455,5.2,5,6.2
5/1/2015,1119.43,1119.87,1119.69,1117.4,1122.06,1120.43,1119.78,1120.88,1120.48,1120.65,1120.565,5.9,5.6,7
5/2/2015,---,---,---,---,---,---,---,---,1120.6,1120.67,1120.635,5.4,5.2,6.4
5/3/2015,---,---,---,---,---,---,---,---,1120.56,1120.71,1120.635,5.9,5.7,7.1
5/4/2015,1119.42,1119.87,1119.69,1117.11,1122,1120.36,1119.68,1120.79,1120.59,1120.68,1120.635,5.8,5.5,6.9
5/5/2015,1119.42,1119.87,1119.68,1117.06,1121.99,1120.35,1119.63,1120.77,1120.49,1120.61,1120.55,6.1,5.8,7.2
5/6/2015,1119.4,1119.87,1119.69,1116.99,1121.96,1120.36,1119.59,1120.74,1120.5,1120.57,1120.535,5.8,5.5,6.9
5/7/2015,1119.39,1119.85,1119.67,1117.02,1121.93,1120.34,1119.55,1120.74,1120.52,1120.61,1120.565,5.6,5.4,6.7
5/8/2015,1119.31,1119.85,1119.66,1117.02,1121.94,1120.33,1119.52,1120.76,1120.59,1121.06,1120.825,4.7,4.5,5.6
5/9/2015,---,---,---,---,---,---,---,---,1121.05,1121.44,1121.245,4.9,4.7,5.8
5/10/2015,---,---,---,---,---,---,---,---,1121.42,1121.62,1121.52,4.5,4.4,5.4
