date,begin_node,end_node
1/1/2015,1122.878,1116.7518
1/2/2015,1126.28,1116.8518
1/3/2015,1126.28,1117.0318
1/4/2015,1126.17,1117.1618
1/5/2015,1126.13,1117.1818
1/6/2015,1126,1116.9318
1/7/2015,1125.98,1117.0718
1/8/2015,1126.04,1117.2218
1/9/2015,1126.06,1117.1918
1/10/2015,1126.11,1117.4418
1/11/2015,1126.06,1116.9818
1/12/2015,1126.22,1116.7918
1/13/2015,1126.11,1116.8618
1/14/2015,1125.93,1117.0218
1/15/2015,1125.85,1116.9818
1/16/2015,1126.14,1116.8518
1/17/2015,1126.14,1116.7318
1/18/2015,1126.08,1116.8718
1/19/2015,1125.99,1116.6018
1/20/2015,1126.12,1116.6118
1/21/2015,1126.17,1116.5518
1/22/2015,1126.2,1116.7418
1/23/2015,1126.08,1116.6518
1/24/2015,1126.08,1116.7418
1/25/2015,1126.16,1116.7118
1/26/2015,1126.17,1116.6618
1/27/2015,1125.95,1116.4718
1/28/2015,1125.7,1116.5618
1/29/2015,1125.58,1116.5318
1/30/2015,1125.54,1116.5118
1/31/2015,1125.52,1116.4718
2/1/2015,1125.51,1116.5018
2/2/2015,1125.64,1116.5218
2/3/2015,1125.58,1116.4718
2/4/2015,1125.64,1116.3118
2/5/2015,1125.78,1116.3218
2/6/2015,1125.82,1116.4118
2/7/2015,1125.77,1116.4618
2/8/2015,1125.84,1116.5118
2/9/2015,1125.67,1116.5318
2/10/2015,1125.55,1116.5418
2/11/2015,1125.53,1116.5418
2/12/2015,1125.87,1116.4718
2/13/2015,1125.05,1116.4618
2/14/2015,1125.53,1116.4518
2/15/2015,1125.47,1116.3718
2/16/2015,1125.44,1116.4018
2/17/2015,1125.36,1116.3918
2/18/2015,1125.25,1116.3518
2/19/2015,1125.24,1116.3918
2/20/2015,1125.43,1116.4118
2/21/2015,1125.34,1116.3918
2/22/2015,1125.16,1116.3618
2/23/2015,1125.14,1116.3118
2/24/2015,1125.39,1116.2418
2/25/2015,1125.57,1116.1918
2/26/2015,1125.58,1116.2018
2/27/2015,1125.61,1116.2518
2/28/2015,1125.67,1116.1918
3/1/2015,1128.29,1116.1918
3/1/2015,1125.68,1116.3118
3/2/2015,1125.84,1116.6318
3/3/2015,1126.36,1116.6518
3/4/2015,1126.94,1116.5118
3/5/2015,1127.72,1116.3318
3/6/2015,1127.78,1116.2318
3/7/2015,1127.71,1116.1818
3/8/2015,1127.72,1116.2118
3/9/2015,1127.68,1116.2018
3/10/2015,1127.53,1116.1818
3/11/2015,1127.7,1116.0918
3/12/2015,1126.12,1116.3418
3/13/2015,1129.9,1116.7618
3/14/2015,1131.64,1116.8518
3/15/2015,1131.8,1116.8218
3/16/2015,1134.48,1116.8518
3/17/2015,1134.96,1117.0918
3/18/2015,1134.83,1117.1918
3/19/2015,1134.63,1117.0918
3/20/2015,1134.48,1117.1118
3/21/2015,1134.19,1117.2918
3/22/2015,1133.92,1117.4418
3/23/2015,1133.62,1117.6018
3/24/2015,1133.5,1117.7518
3/25/2015,1133.64,1117.8418
3/26/2015,1133.62,1117.8818
3/27/2015,1133.47,1117.8918
3/28/2015,1133.3,1117.9418
3/29/2015,1133.39,1117.9418
3/30/2015,1132.8,1117.9718
3/31/2015,1132.3,1117.9818
4/1/2015,1131.97,1117.9618
4/2/2015,1131.69,1117.9718
4/3/2015,1131.37,1117.9918
4/4/2015,1131.07,1118.0318
4/5/2015,1130.73,1118.0818
4/6/2015,1130.43,1118.1218
4/7/2015,1130.18,1118.1518
4/8/2015,1130.09,1118.1818
4/9/2015,1130.19,1118.0918
4/10/2015,1130.21,1118.0618
4/11/2015,1130.58,1118.0518
4/12/2015,1130.94,1118.1018
4/13/2015,1130.96,1118.0518
4/14/2015,1131.14,1118.0718
4/15/2015,1131.27,1118.0818
4/16/2015,1131.3,1118.0518
4/17/2015,1131.19,1118.0118
4/18/2015,1131.26,1117.9718
4/19/2015,1131.41,1117.9518
4/20/2015,1131.59,1117.9418
4/21/2015,1131.8,1117.9018
4/22/2015,1131.95,1117.9118
4/23/2015,1131.97,1117.9218
4/24/2015,1131.86,1117.9318
4/25/2015,1132.17,1117.9318
4/26/2015,1132.05,1117.9518
4/27/2015,1131.88,1117.9618
4/28/2015,1131.63,1117.9918
4/29/2015,1131.22,1118.0418
4/30/2015,1130.3,1118.0518
5/1/2015,1130.03,1118.0218
5/2/2015,1129.84,1118.0318
5/3/2015,1129.66,1117.9818
5/4/2015,1129.52,1117.9218
5/5/2015,1129.4,1117.9318
5/6/2015,1129.25,1117.9618
5/7/2015,1129.07,1118.0918
5/8/2015,1128.94,1118.1018
5/9/2015,1129.02,1118.0918
5/10/2015,1128.9,1118.1818
5/11/2015,1128.89,1118.3018
5/12/2015,1129.02,1118.2918
5/13/2015,1129.35,1118.3218
5/14/2015,1129.53,1118.3018
5/15/2015,1129.52,1118.2418
5/16/2015,1129.44,1118.3118
5/17/2015,1129.28,1118.2718
5/18/2015,1129.19,1118.2718
5/19/2015,1129.07,1118.2918
5/20/2015,1128.96,1118.2418
5/21/2015,1128.92,1118.2718
5/22/2015,1128.98,1118.3718
5/23/2015,1128.93,1118.4418
5/24/2015,1129.16,1118.4918
5/25/2015,1129.3,1118.5918
5/26/2015,1129.53,1118.5918
5/27/2015,1129.58,1118.5318
5/28/2015,1129.65,1118.5218
5/29/2015,1129.87,1118.5318
5/30/2015,1130.42,1118.5318
5/31/2015,1130.92,1118.5318
6/1/2015,1130.84,1118.5218
6/2/2015,1130.8,1118.4818
6/3/2015,1130.79,1118.4718
6/4/2015,1130.42,1118.4718
6/5/2015,1129.88,1118.4418
6/6/2015,1129.43,1118.4618
6/7/2015,1129.1,1118.5618
6/8/2015,1128.83,1118.5118
6/9/2015,1128.55,1118.5918
6/10/2015,1128.19,1118.6718
6/11/2015,1128.34,1118.5918
6/12/2015,1128.37,1118.6218
6/13/2015,1127.9,1118.6818
6/14/2015,1127.42,1118.6418
6/15/2015,1127.09,1118.5918
6/16/2015,1126.86,1118.6818
6/17/2015,1126.7,1118.5018
6/18/2015,1127.01,1118.2818
6/19/2015,1127.18,1118.2318
6/20/2015,1127.64,1118.2418
6/21/2015,1130.04,1118.2018
6/22/2015,1130.49,1118.0918
6/23/2015,1130.54,1118.0918
6/24/2015,1130.56,1118.1118
6/25/2015,1130.55,1118.2418
6/26/2015,1130.66,1118.2118
6/27/2015,1131.38,1118.2118
6/28/2015,1132.02,1118.2218
6/29/2015,1132.13,1118.2318
6/30/2015,1132.08,1118.2618
7/1/2015,1131.72,1118.2818
7/2/2015,1131.16,1118.3218
7/3/2015,1133.14,1118.3718
7/4/2015,1130.37,1118.4718
7/5/2015,1130.07,1118.4918
7/6/2015,1129.9,1118.5218
7/7/2015,1131.79,1118.5618
7/8/2015,1131.51,1118.5918
7/9/2015,1129.38,1118.5418
7/10/2015,1129.31,1118.5618
7/11/2015,1128.94,1118.5818
7/12/2015,1128.71,1118.6018
7/13/2015,1129.84,1118.5918
7/14/2015,1129.86,1118.5918
7/15/2015,1132.08,1118.6118
7/16/2015,1129,1118.7418
7/17/2015,1128.91,1118.7718
7/18/2015,1128.93,1118.7218
7/19/2015,1128.83,1118.6918
7/20/2015,1128.67,1118.6918
7/21/2015,1126.44,1118.7418
7/22/2015,1128.84,1118.7418
7/23/2015,1130.53,1118.6618
7/24/2015,1127.87,1118.6618
7/25/2015,1127.55,1118.7318
7/26/2015,1127.27,1118.6818
7/27/2015,1127.04,1118.6818
7/28/2015,1126.84,1118.6918
7/29/2015,1126.71,1118.7018
7/30/2015,1125.13,1118.7018
7/31/2015,1125.97,1118.6718
8/1/2015,1127.23,1118.7018
8/2/2015,1126.23,1118.6718
8/3/2015,1126.24,1118.6618
8/4/2015,1126.28,1118.6818
8/5/2015,1126.38,1118.6718
8/6/2015,1126.48,1118.6718
8/7/2015,1126.49,1118.6518
8/8/2015,1126.7,1118.6718
8/9/2015,1126.78,1118.6618
8/10/2015,1126.62,1118.6618
8/11/2015,1126.4,1118.6618
8/12/2015,1126.21,1118.6718
8/13/2015,1126.06,1118.7118
8/14/2015,1124.99,1118.7118
8/15/2015,1125.86,1118.7318
8/16/2015,1125.81,1118.7018
8/17/2015,1125.73,1118.6618
8/18/2015,1125.82,1118.6518
8/19/2015,1125.95,1118.6718
8/20/2015,1125.93,1118.7018
8/21/2015,1125.81,1118.7218
8/22/2015,1125.74,1118.7418
8/23/2015,1125.67,1118.7618
8/24/2015,1126.48,1118.8118
8/25/2015,1125.53,1118.8318
8/26/2015,1125.47,1118.8318
8/27/2015,1125.46,1118.8218
8/28/2015,1125.48,1118.8418
8/29/2015,1125.61,1118.8918
8/30/2015,1126.5,1118.8918
8/31/2015,1126.5,1118.9018
9/1/2015,1126.45,1118.9218
9/2/2015,1125.99,1118.9218
9/3/2015,1125.97,1118.9418
9/4/2015,1125.85,1118.6518
9/5/2015,1125.74,1118.6818
9/6/2015,1126.18,1118.7618
9/7/2015,1125.57,1118.7118
9/8/2015,1125.5,1118.6418
9/9/2015,1125.44,1118.6318
9/10/2015,1125.4,1118.6618
9/11/2015,1125.54,1119.0718
9/12/2015,1126.08,1119.1318
9/13/2015,1126.26,1119.2518
9/14/2015,1126.47,1119.3818
9/15/2015,1126.61,1119.3618
9/16/2015,1126.91,1119.2218
9/17/2015,1127.62,1119.2118
9/18/2015,1128.91,1119.2018
9/19/2015,1129.52,1119.2118
9/20/2015,1130.39,1119.1718
9/21/2015,1131.1,1119.1618
9/22/2015,1130.83,1119.1218
9/23/2015,1130.62,1119.1118
9/24/2015,1130.56,1119.0818
9/25/2015,1130.62,1119.0518
9/26/2015,1133.06,1119.0718
9/27/2015,1130.63,1119.0718
9/28/2015,1130.61,1119.0518
9/29/2015,1130.45,1119.0118
9/30/2015,1130.13,1119.0218
10/1/2015,1129.85,1119.0018
10/2/2015,1129.56,1119.0418
10/3/2015,1129.25,1119.0818
10/4/2015,1128.91,1119.0218
10/5/2015,1128.67,1118.9718
10/6/2015,1128.43,1119.0118
10/7/2015,1128.11,1119.0118
10/8/2015,1127.9,1118.9718
10/9/2015,1129.21,1118.9618
10/10/2015,1130.2,1118.9918
10/11/2015,1130.17,1119.0518
10/12/2015,1130.04,1119.1118
10/13/2015,1128.4,1119.1518
10/14/2015,1128.39,1119.1418
10/15/2015,1128.43,1119.0718
10/16/2015,1128.49,1119.0518
10/17/2015,1128.53,1119.0718
10/18/2015,1128.53,1119.0818
10/19/2015,1128.46,1119.0918
10/20/2015,1128.35,1119.1018
10/21/2015,1129.74,1119.1418
10/22/2015,1129.49,1119.1718
10/23/2015,1129.2,1119.1818
10/24/2015,1128.86,1119.2018
10/25/2015,1128.61,1119.2118
10/26/2015,1128.46,1119.2118
10/27/2015,1128.3,1119.2018
10/28/2015,1128.22,1119.2018
10/29/2015,1128.13,1119.2118
10/30/2015,1128.08,1119.2118
10/31/2015,1127.94,1119.2018
11/1/2015,1127.83,1119.1518
11/2/2015,1127.78,1119.1418
11/3/2015,1127.73,1119.1518
11/4/2015,1127.72,1119.1618
11/5/2015,1127.74,1119.1618
11/6/2015,1127.97,1119.1218
11/7/2015,1128.08,1119.0818
