model_place_holder_date,begin_node,end_node
1/1/2015,1125.873,1116.7518
1/2/2015,1125.973,1116.8518
1/3/2015,1126.153,1117.0318
1/4/2015,1126.283,1117.1618
1/5/2015,1126.303,1117.1818
1/6/2015,1126.053,1116.9318
1/7/2015,1126.193,1117.0718
1/8/2015,1126.343,1117.2218
1/9/2015,1126.313,1117.1918
1/10/2015,1126.563,1117.4418
1/11/2015,1126.103,1116.9818
1/12/2015,1125.913,1116.7918
1/13/2015,1125.983,1116.8618
1/14/2015,1126.143,1117.0218
1/15/2015,1126.103,1116.9818
1/16/2015,1125.973,1116.8518
1/17/2015,1125.853,1116.7318
1/18/2015,1125.993,1116.8718
1/19/2015,1125.723,1116.6018
1/20/2015,1125.733,1116.6118
1/21/2015,1125.673,1116.5518
1/22/2015,1125.863,1116.7418
1/23/2015,1125.773,1116.6518
1/24/2015,1125.863,1116.7418
1/25/2015,1125.833,1116.7118
1/26/2015,1125.783,1116.6618
1/27/2015,1125.593,1116.4718
1/28/2015,1125.683,1116.5618
1/29/2015,1125.653,1116.5318
1/30/2015,1125.633,1116.5118
1/31/2015,1125.593,1116.4718
2/1/2015,1125.623,1116.5018
2/2/2015,1125.643,1116.5218
2/3/2015,1125.593,1116.4718
2/4/2015,1125.433,1116.3118
2/5/2015,1125.443,1116.3218
2/6/2015,1125.533,1116.4118
2/7/2015,1125.583,1116.4618
2/8/2015,1125.633,1116.5118
2/9/2015,1125.653,1116.5318
2/10/2015,1125.663,1116.5418
2/11/2015,1125.663,1116.5418
2/12/2015,1125.593,1116.4718
2/13/2015,1125.583,1116.4618
2/14/2015,1125.573,1116.4518
2/15/2015,1125.493,1116.3718
2/16/2015,1125.523,1116.4018
2/17/2015,1125.513,1116.3918
2/18/2015,1125.473,1116.3518
2/19/2015,1125.513,1116.3918
2/20/2015,1125.533,1116.4118
2/21/2015,1125.513,1116.3918
2/22/2015,1125.483,1116.3618
2/23/2015,1125.433,1116.3118
2/24/2015,1125.363,1116.2418
2/25/2015,1125.313,1116.1918
2/26/2015,1125.323,1116.2018
2/27/2015,1125.373,1116.2518
2/28/2015,1125.313,1116.1918
3/1/2015,1125.313,1116.1918
3/2/2015,1125.433,1116.3118
3/3/2015,1125.753,1116.6318
3/4/2015,1125.773,1116.6518
3/5/2015,1125.633,1116.5118
3/6/2015,1125.453,1116.3318
3/7/2015,1125.353,1116.2318
3/8/2015,1125.303,1116.1818
3/9/2015,1125.333,1116.2118
3/10/2015,1125.323,1116.2018
3/11/2015,1125.303,1116.1818
3/12/2015,1125.213,1116.0918
3/13/2015,1125.463,1116.3418
3/14/2015,1125.883,1116.7618
3/15/2015,1125.973,1116.8518
3/16/2015,1125.943,1116.8218
3/17/2015,1125.973,1116.8518
3/18/2015,1126.213,1117.0918
3/19/2015,1126.313,1117.1918
3/20/2015,1126.213,1117.0918
3/21/2015,1126.233,1117.1118
3/22/2015,1126.413,1117.2918
3/23/2015,1126.563,1117.4418
3/24/2015,1126.723,1117.6018
3/25/2015,1126.873,1117.7518
3/26/2015,1126.963,1117.8418
3/27/2015,1127.003,1117.8818
3/28/2015,1127.013,1117.8918
3/29/2015,1127.063,1117.9418
3/30/2015,1127.063,1117.9418
3/31/2015,1127.093,1117.9718
4/1/2015,1127.103,1117.9818
4/2/2015,1127.083,1117.9618
4/3/2015,1127.093,1117.9718
4/4/2015,1127.113,1117.9918
4/5/2015,1127.153,1118.0318
4/6/2015,1127.203,1118.0818
4/7/2015,1127.243,1118.1218
4/8/2015,1127.273,1118.1518
4/9/2015,1127.303,1118.1818
4/10/2015,1127.213,1118.0918
4/11/2015,1127.183,1118.0618
4/12/2015,1127.173,1118.0518
4/13/2015,1127.223,1118.1018
4/14/2015,1127.173,1118.0518
4/15/2015,1127.193,1118.0718
4/16/2015,1127.203,1118.0818
4/17/2015,1127.173,1118.0518
4/18/2015,1127.133,1118.0118
4/19/2015,1127.093,1117.9718
4/20/2015,1127.073,1117.9518
4/21/2015,1127.063,1117.9418
4/22/2015,1127.023,1117.9018
4/23/2015,1127.033,1117.9118
4/24/2015,1127.043,1117.9218
4/25/2015,1127.053,1117.9318
4/26/2015,1127.053,1117.9318
4/27/2015,1127.073,1117.9518
4/28/2015,1127.083,1117.9618
4/29/2015,1127.113,1117.9918
4/30/2015,1127.163,1118.0418
5/1/2015,1127.173,1118.0518
5/2/2015,1127.143,1118.0218
5/3/2015,1127.153,1118.0318
5/4/2015,1127.103,1117.9818
5/5/2015,1127.043,1117.9218
5/6/2015,1127.053,1117.9318
5/7/2015,1127.083,1117.9618
5/8/2015,1127.213,1118.0918
5/9/2015,1127.223,1118.1018
5/10/2015,1127.213,1118.0918
5/11/2015,1127.303,1118.1818
5/12/2015,1127.423,1118.3018
5/13/2015,1127.413,1118.2918
5/14/2015,1127.443,1118.3218
5/15/2015,1127.423,1118.3018
5/16/2015,1127.363,1118.2418
5/17/2015,1127.433,1118.3118
5/18/2015,1127.393,1118.2718
5/19/2015,1127.393,1118.2718
5/20/2015,1127.413,1118.2918
5/21/2015,1127.363,1118.2418
5/22/2015,1127.393,1118.2718
5/23/2015,1127.493,1118.3718
5/24/2015,1127.563,1118.4418
5/25/2015,1127.613,1118.4918
5/26/2015,1127.713,1118.5918
5/27/2015,1127.713,1118.5918
5/28/2015,1127.653,1118.5318
5/29/2015,1127.643,1118.5218
5/30/2015,1127.653,1118.5318
5/31/2015,1127.653,1118.5318
6/1/2015,1127.653,1118.5318
6/2/2015,1127.643,1118.5218
6/3/2015,1127.603,1118.4818
6/4/2015,1127.593,1118.4718
6/5/2015,1127.593,1118.4718
6/6/2015,1127.563,1118.4418
6/7/2015,1127.583,1118.4618
6/8/2015,1127.683,1118.5618
6/9/2015,1127.633,1118.5118
6/10/2015,1127.713,1118.5918
6/11/2015,1127.793,1118.6718
6/12/2015,1127.713,1118.5918
6/13/2015,1127.743,1118.6218
6/14/2015,1127.803,1118.6818
6/15/2015,1127.763,1118.6418
6/16/2015,1127.713,1118.5918
6/17/2015,1127.803,1118.6818
6/18/2015,1127.623,1118.5018
6/19/2015,1127.403,1118.2818
6/20/2015,1127.353,1118.2318
6/21/2015,1127.363,1118.2418
6/22/2015,1127.323,1118.2018
6/23/2015,1127.213,1118.0918
6/24/2015,1127.213,1118.0918
6/25/2015,1127.233,1118.1118
6/26/2015,1127.363,1118.2418
6/27/2015,1127.333,1118.2118
6/28/2015,1127.333,1118.2118
6/29/2015,1127.343,1118.2218
6/30/2015,1127.353,1118.2318
7/1/2015,1127.383,1118.2618
7/2/2015,1127.403,1118.2818
7/3/2015,1127.443,1118.3218
7/4/2015,1127.493,1118.3718
7/5/2015,1127.593,1118.4718
7/6/2015,1127.613,1118.4918
7/7/2015,1127.643,1118.5218
7/8/2015,1127.683,1118.5618
7/9/2015,1127.713,1118.5918
7/10/2015,1127.663,1118.5418
7/11/2015,1127.683,1118.5618
7/12/2015,1127.703,1118.5818
7/13/2015,1127.723,1118.6018
7/14/2015,1127.713,1118.5918
7/15/2015,1127.713,1118.5918
7/16/2015,1127.733,1118.6118
7/17/2015,1127.863,1118.7418
7/18/2015,1127.893,1118.7718
7/19/2015,1127.843,1118.7218
7/20/2015,1127.813,1118.6918
7/21/2015,1127.813,1118.6918
7/22/2015,1127.863,1118.7418
7/23/2015,1127.863,1118.7418
7/24/2015,1127.783,1118.6618
7/25/2015,1127.783,1118.6618
7/26/2015,1127.853,1118.7318
7/27/2015,1127.803,1118.6818
7/28/2015,1127.803,1118.6818
