agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,date,count_nu,mean_va
USGS,6485950,60,128929,1,1,2016,2021,1/1/2015,6,2060
USGS,6485950,60,128929,1,2,2016,2021,1/2/2015,6,2020
USGS,6485950,60,128929,1,3,2016,2021,1/3/2015,6,1990
USGS,6485950,60,128929,1,4,2016,2021,1/4/2015,6,1950
USGS,6485950,60,128929,1,5,2016,2021,1/5/2015,6,1930
USGS,6485950,60,128929,1,6,2016,2021,1/6/2015,6,1900
USGS,6485950,60,128929,1,7,2016,2021,1/7/2015,6,1880
USGS,6485950,60,128929,1,8,2016,2021,1/8/2015,6,1840
USGS,6485950,60,128929,1,9,2016,2021,1/9/2015,6,1780
USGS,6485950,60,128929,1,10,2016,2021,1/10/2015,6,1710
USGS,6485950,60,128929,1,11,2016,2021,1/11/2015,6,1640
USGS,6485950,60,128929,1,12,2016,2021,1/12/2015,6,1560
USGS,6485950,60,128929,1,13,2016,2021,1/13/2015,6,1520
USGS,6485950,60,128929,1,14,2016,2021,1/14/2015,6,1490
USGS,6485950,60,128929,1,15,2016,2021,1/15/2015,6,1470
USGS,6485950,60,128929,1,16,2016,2021,1/16/2015,6,1410
USGS,6485950,60,128929,1,17,2016,2021,1/17/2015,6,1380
USGS,6485950,60,128929,1,18,2016,2021,1/18/2015,6,1370
USGS,6485950,60,128929,1,19,2016,2021,1/19/2015,6,1380
USGS,6485950,60,128929,1,20,2016,2021,1/20/2015,6,1420
USGS,6485950,60,128929,1,21,2016,2021,1/21/2015,6,1480
USGS,6485950,60,128929,1,22,2016,2021,1/22/2015,6,1540
USGS,6485950,60,128929,1,23,2016,2021,1/23/2015,6,1700
USGS,6485950,60,128929,1,24,2016,2021,1/24/2015,6,1840
USGS,6485950,60,128929,1,25,2016,2021,1/25/2015,6,1860
USGS,6485950,60,128929,1,26,2016,2021,1/26/2015,6,1760
USGS,6485950,60,128929,1,27,2016,2021,1/27/2015,6,1660
USGS,6485950,60,128929,1,28,2016,2021,1/28/2015,6,1620
USGS,6485950,60,128929,1,29,2016,2021,1/29/2015,6,1610
USGS,6485950,60,128929,1,30,2016,2021,1/30/2015,6,1590
USGS,6485950,60,128929,1,31,2016,2021,1/31/2015,6,1580
USGS,6485950,60,128929,2,1,2016,2021,2/1/2015,6,1570
USGS,6485950,60,128929,2,2,2016,2021,2/2/2015,6,1560
USGS,6485950,60,128929,2,3,2016,2021,2/3/2015,6,1540
USGS,6485950,60,128929,2,4,2016,2021,2/4/2015,6,1510
USGS,6485950,60,128929,2,5,2016,2021,2/5/2015,6,1480
USGS,6485950,60,128929,2,6,2016,2021,2/6/2015,6,1450
USGS,6485950,60,128929,2,7,2016,2021,2/7/2015,6,1410
USGS,6485950,60,128929,2,8,2016,2021,2/8/2015,6,1370
USGS,6485950,60,128929,2,9,2016,2021,2/9/2015,6,1360
USGS,6485950,60,128929,2,10,2016,2021,2/10/2015,6,1350
USGS,6485950,60,128929,2,11,2016,2021,2/11/2015,6,1380
USGS,6485950,60,128929,2,12,2016,2021,2/12/2015,6,1430
USGS,6485950,60,128929,2,13,2016,2021,2/13/2015,6,1560
USGS,6485950,60,128929,2,14,2016,2021,2/14/2015,6,1770
USGS,6485950,60,128929,2,15,2016,2021,2/15/2015,6,1770
USGS,6485950,60,128929,2,16,2016,2021,2/16/2015,6,1720
USGS,6485950,60,128929,2,17,2016,2021,2/17/2015,6,1710
USGS,6485950,60,128929,2,18,2016,2021,2/18/2015,6,1710
