#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-05-05 16:12:47 EDT      (vaww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 06485950 BIG SIOUX RIVER AT SIOUX CITY, IA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		128929	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	06485950	00060	128929	1	1	2016	2021	6	2019	4230	2021	557	2060			818	1050	1510	3540	3860		
USGS	06485950	00060	128929	1	2	2016	2021	6	2019	4210	2021	557	2020			798	1010	1530	3410	3780		
USGS	06485950	00060	128929	1	3	2016	2021	6	2019	4200	2021	556	1990			778	972	1570	3270	3700		
USGS	06485950	00060	128929	1	4	2016	2021	6	2019	4190	2021	555	1950			765	949	1570	3120	3620		
USGS	06485950	00060	128929	1	5	2016	2021	6	2019	4190	2021	555	1930			753	926	1610	2980	3550		
USGS	06485950	00060	128929	1	6	2016	2021	6	2019	4180	2021	555	1900			732	886	1590	2890	3490		
USGS	06485950	00060	128929	1	7	2016	2021	6	2019	4150	2021	555	1880			705	836	1650	2800	3430		
USGS	06485950	00060	128929	1	8	2016	2021	6	2019	4080	2021	557	1840			682	792	1650	2720	3350		
USGS	06485950	00060	128929	1	9	2016	2021	6	2019	3970	2021	557	1780			661	753	1590	2630	3250		
USGS	06485950	00060	128929	1	10	2016	2021	6	2019	3810	2021	555	1710			639	713	1490	2560	3140		
USGS	06485950	00060	128929	1	11	2016	2021	6	2019	3600	2021	551	1640			628	695	1420	2460	2990		
USGS	06485950	00060	128929	1	12	2016	2021	6	2019	3270	2021	547	1560			629	701	1390	2330	2770		
USGS	06485950	00060	128929	1	13	2016	2021	6	2019	3010	2021	541	1520			637	722	1390	2250	2600		
USGS	06485950	00060	128929	1	14	2016	2021	6	2019	2820	2021	533	1490			651	755	1390	2190	2480		
USGS	06485950	00060	128929	1	15	2016	2021	6	2019	2610	2021	525	1470			671	798	1410	2130	2350		
USGS	06485950	00060	128929	1	16	2016	2021	6	2019	2360	2021	517	1410			683	828	1340	2070	2210		
USGS	06485950	00060	128929	1	17	2016	2021	6	2019	2230	2021	510	1380			677	823	1320	2040	2130		
USGS	06485950	00060	128929	1	18	2016	2021	6	2019	2170	2021	505	1370			667	809	1350	2010	2090		
USGS	06485950	00060	128929	1	19	2016	2021	6	2019	2140	2021	502	1380			664	806	1380	2030	2080		
USGS	06485950	00060	128929	1	20	2016	2021	6	2019	2140	2021	497	1420			665	813	1460	2060	2100		
USGS	06485950	00060	128929	1	21	2016	2021	6	2017	2220	2021	491	1480			665	817	1530	2170	2200		
USGS	06485950	00060	128929	1	22	2016	2021	6	2017	2570	2021	487	1540			668	826	1540	2280	2410		
USGS	06485950	00060	128929	1	23	2016	2021	6	2017	3380	2021	483	1700			671	835	1590	2480	2900		
USGS	06485950	00060	128929	1	24	2016	2021	6	2017	4190	2021	479	1840			672	841	1640	2670	3380		
USGS	06485950	00060	128929	1	25	2016	2021	6	2017	4190	2021	470	1860			672	849	1690	2640	3360		
USGS	06485950	00060	128929	1	26	2016	2021	6	2017	3680	2021	463	1760			674	858	1680	2490	3050		
USGS	06485950	00060	128929	1	27	2016	2021	6	2017	3100	2021	457	1660			674	864	1680	2310	2680		
USGS	06485950	00060	128929	1	28	2016	2021	6	2017	2890	2021	452	1620			679	878	1680	2220	2530		
USGS	06485950	00060	128929	1	29	2016	2021	6	2017	2840	2021	448	1610			681	884	1690	2170	2480		
USGS	06485950	00060	128929	1	30	2016	2021	6	2017	2820	2021	442	1590			681	890	1680	2130	2450		
USGS	06485950	00060	128929	1	31	2016	2021	6	2017	2810	2021	434	1580			672	881	1670	2100	2430		
USGS	06485950	00060	128929	2	1	2016	2021	6	2017	2800	2021	427	1570			668	879	1660	2080	2420		
USGS	06485950	00060	128929	2	2	2016	2021	6	2017	2780	2021	419	1560			663	877	1660	2060	2400		
USGS	06485950	00060	128929	2	3	2016	2021	6	2017	2760	2021	411	1540			663	883	1600	2040	2380		
USGS	06485950	00060	128929	2	4	2016	2021	6	2017	2720	2021	402	1510			649	866	1580	2010	2340		
USGS	06485950	00060	128929	2	5	2016	2021	6	2017	2660	2021	395	1480			649	871	1520	1970	2290		
USGS	06485950	00060	128929	2	6	2016	2021	6	2017	2560	2021	389	1450			645	870	1510	1920	2220		
