Date,countdays,03-1,09-3,09-2,09-1,06-2,06-3,06-5,06-6,07-4,09-4,09-5
1/1/2015,4,1601244.75,1234374.667,1859933.75,1408888.667,1778081.75,1855482.667,2155487.75,2129293.5,2162384.25,995481,459746.25
1/2/2015,4,1731390.667,1179977,1857328.5,1350975.667,1887817.333,1771554.667,2132904.25,2098473.5,2141904.75,1067098.75,473346.5
1/3/2015,4,1805353,1240689.667,2047366.5,1426491.333,1959875.333,1863213.333,2304319.25,2274694.5,2340346,1212368.75,552547.75
1/4/2015,4,1684032.75,1066516.333,2271650.25,1508293,1640245.25,1523895,2367844.75,2524781.5,2593759.5,1355757.5,633008
1/5/2015,4,1717527.75,1197040,1851524.25,1405556,1831732.5,1843126.667,2109473.75,2122582.75,2154420.5,1048059,487388
1/6/2015,4,1791087,1231441,1980905.5,1225040.333,1867401.5,2101141,2323991,2273119.25,2316679.75,996941.75,473719.5
1/7/2015,4,1919780.75,1310567.5,2010181.75,1453226,2015264.25,1905974.25,2245558.75,2314471,2355569.25,1103114.75,491492.5
1/8/2015,4,1875907,991361.5,1822516.75,1099726.5,2018754.5,2243365.5,2248029,2434355.5,2473925,1060038.75,496435
1/9/2015,4,1894579.5,1303663.5,2057500.25,1444283.5,2039275,2172395.5,2174652,2358577.25,2405240.75,1168407.5,531768.5
1/10/2015,4,1886860.25,1124744.5,1893392.5,1238918,2024677.75,2196950.75,2198659.25,2383911.5,2427702.25,1099030.75,530645.25
1/11/2015,4,1977090.75,1214777,2150535,1344020,2050223.25,2328806.75,2325853.75,2518989.5,2562385,1284364,583798.3333
1/12/2015,4,1940209.5,1240465,1998987.333,1376374,2457480.333,2212945.25,2308508.25,2403179,2434005.5,1172889.333,566201.6667
1/13/2015,4,1931357,1251754,1975468,1382921,2454545.333,2197613.75,2292660.5,2382472.25,2417690.75,1166069.333,549579.3333
1/14/2015,4,1903714.5,1108437,1851371.5,1236806,2388558,2158125,2215840.5,1958555.75,2379862.25,1196912.667,563699.6667
1/15/2015,4,1819188,1158287.5,1887544.25,1274004,2206908.667,2165829,2132612.5,1875710.75,2385773.25,1257673,581609
1/16/2015,4,1922768.25,1230336,2051713.667,1383111,2374534.667,2252819.25,2240673.25,2388729.25,2475403.25,1243426,579853.6667
1/17/2015,5,1945693.8,1911653.667,2098950.25,2185825,2412295,2236545.4,2215400.5,2409126.25,2450474,1222766,552732
1/18/2015,5,2013601.8,1937920.333,2230670.5,2386572,2570783.5,2161380.2,2274851.25,2483561,2531112.25,1332004.333,613591.3333
1/19/2015,5,2253430.25,1776144,2571557.75,2336993.5,2404190.25,2375537.25,2280483.5,2530914.25,2579307.25,1383774.333,652760.3333
1/20/2015,5,2222897.5,1858370,2606292.5,2278697,2390545.5,2445845.25,2436394,2685747.75,2735818.25,1383341,624806.6667
1/21/2015,5,2356477.75,1505302.333,2303038.2,2266001.5,2534002,2159765.75,2539677.25,2811683,2862944.5,1521613.667,703859.6667
1/22/2015,5,2285406,1507951,2256443.8,2179507,2450541.5,2139677.25,2546017.25,2838732.75,2896591.75,1344083,636233
1/23/2015,5,1887780.6,1739320.5,2509589,2029189.5,2427293.75,2255431.8,2449216.5,2759999,2815854.25,1938364,889393
1/24/2015,5,1918696.6,1790884.5,2447705,1879266,2398990.5,2180520.8,2419402.75,2680434.25,2724249.5,1750310.5,808344
1/25/2015,5,1835780.6,1798228.5,2522827.75,2139757,2400313.5,2102886.8,2425911.5,2661689.5,2752677.75,1840589,836971.5
1/26/2015,5,2257965.75,1794102,2509219.75,2220949.5,2399120.5,2403645.5,2428439.5,2797341.25,2741560.75,1807801.5,835727
1/27/2015,5,2283342.5,1869735,2499880.25,2231315.5,2542465.25,2351929.5,2462676.5,2855348.25,2751485,1722681.5,788539.5
1/28/2015,5,2367443.5,1901007.5,2552389.5,2274061,2537093,2520419.5,2543034.25,2904228.75,2839165.25,1761741,806002
1/29/2015,5,2423919,1824832.5,2515908,2032240.667,2572780.5,2527227.5,2467165.5,2882333.75,2743851.25,1695506,786503
1/30/2015,5,2210524.5,1748780.5,2367298.5,2212901,2366396,2342050,2266161.5,2667194.75,2561861.25,1574322,733803.5
1/31/2015,5,2254644,1746761.5,2428836,2178304,2412458,2434884.5,2370166.5,2777257.5,2648514.75,1659619.5,754579.5
2/1/2015,5,2266119.5,1834756,2449414,1643612,2467336.75,2201769.5,2139151.6,2835161,2393743.6,1370064.667,787093.5
2/2/2015,5,2236760.25,1910462.5,2427928.75,2245887.333,2403634.5,2443590,2041134.4,2871107.5,2712589,1645247.333,723951
2/3/2015,5,2210474.75,1535575.667,1981341.6,2190663,2372096.75,2183746.667,2365324.2,2784394.75,2635931.2,1708949.333,702846
2/4/2015,5,1775177.25,1356704.75,1849909.2,1824088.333,2037980.5,2105560.333,1970740.8,2707802,2435012.4,1573947.667,653051
2/5/2015,5,2204222.667,1607401.667,2277183.75,2036210,2321463.667,2253527.667,2353285.25,2697468.5,2589011.8,1748713.667,753564
2/6/2015,5,2080878.667,1784600.75,2433962.75,2194075.667,2452440.333,2511665,2527741.5,2763009.25,2771675.6,1825392.667,779382.5
2/7/2015,5,2366368,1443190,2354528.25,2135154,2489964,2044581,2442057,2609403.5,2598173.8,1754023.667,775650
2/8/2015,5,2181221,1456639.25,2035560,1688379.25,2311430.667,1881837,2264599.25,2375243.75,2505929.6,1685345.667,726482
2/9/2015,5,2048473.333,1664295,2245623.8,2047792.5,2179425.667,1704889,2227901.75,2031671,2207934.4,1684104.333,753467
2/10/2015,5,1965900.667,1536616.25,2118601.4,1938955.75,2052996.25,1981686.5,1848701,1930169.75,2120812.6,1637500,758982.5
2/11/2015,5,1895954,1530650.25,2093637.4,1870719,2025636.75,1595217.667,2084600.4,2207879.75,2351025.2,1638637.667,722131.5
2/12/2015,5,1688873.25,1453918.25,1990640.6,1615076.4,2036281.25,2087929.667,2163398.4,2294966.75,2415160.8,1667238,724268
2/13/2015,5,2212662,1660958.667,2218909.25,2085525,2240823.75,2297525,2309598.6,2486589.75,2548652.8,1635159,692447.5
2/14/2015,5,2227994.667,1580950.667,1884063,2103335.25,2376892.75,2250101.667,2319029.2,2424198.75,2565574.2,1705367,687003.5
2/15/2015,5,1815566.5,1576411.667,2208863,2094381,2182493.5,2157849.333,2253593.8,2594214.25,2506000.6,1714651.333,757996.5
2/16/2015,5,1834620.5,1684383.667,2187379.5,2050134,2260514.667,2178662.667,2200932,2470309.25,2073902.8,1576163.333,659111.5
2/17/2015,5,2066030.333,1772493.667,2374943.25,2230800.25,2473004,2376775.333,2204800.6,2811112.75,2592895.2,1719175.667,732516
2/18/2015,5,2261707.333,1763844,2305236.25,1915328,2492767,2515746.333,2448087,2927454.25,2670549.6,1652880.667,692919.5
2/19/2015,5,2196570.333,1707387.667,2210993.5,2073133,2422608,2430857.667,2402049,2861245.25,2569504.2,1572758.667,683696
2/20/2015,5,2048768.333,1631888.333,2123472.75,1996265.5,2309652.5,2300592.333,2284419.5,2754131,2460803,1508383.333,649281.5
2/21/2015,5,1954895.333,1645730.333,2178860.5,2041151,2208884.5,2286071.667,2285315.75,2736725.75,2475304.6,1538260.333,649570
2/22/2015,5,2227783.667,1772052.333,2363901.75,2219411.5,2449691,2512199,2474531,2926558.25,2706531.4,1583622,640645.5
2/23/2015,5,2271451.333,1734116.667,2372739,2229850.5,2475141,2426068.667,2433839.75,2851923.5,2682631.8,1690643.333,652473.5
2/24/2015,5,2245727.667,1827738.333,2411127,2261818,2456813.75,2519021.333,2527075.75,2940734.5,2722700.4,1720313.667,747297
2/25/2015,5,1721634,1481838.25,2028560.4,1885167.2,2403625,2294052,2327737.75,2760219.25,2542757.2,1642775.667,724738
2/26/2015,5,1859181.5,1500424,1995992.8,1857611.8,1987211.5,1880919,1953109.25,2418059.25,2242179.4,1578333.333,649741.5
2/27/2015,5,2016681.5,1577825,2096873.6,1948168.6,2143928,2049955,2089395.75,2555025,2366410.6,1618308,672762
2/28/2015,5,1863480.5,1498425.75,2052274.8,1910626.4,2029817.25,1937885,2022359,2452242.5,2303805.8,1626156,689581
3/1/2015,5,1841906.5,1448757.25,2011002.6,1876925.6,1961525.75,2027607.5,2160851.75,2554346,2385445,1649685,739602.5
3/2/2015,5,2049710.75,1592736.333,2115313,1992326,2203975.25,2169534,2259343.25,2710809.75,2441054,1309838.75,536830
3/3/2015,5,2049499.75,1608674,2125572.75,1999671.5,2208038,2170222,2244807.25,2694655.25,2438081.6,1374718.5,580602.6667
3/4/2015,5,2128310.25,1703363.667,2227144.25,2083610.25,2291518.75,2324470.5,2424556.5,2732179.75,2572074.4,1429406.5,601734
3/5/2015,5,2161159.75,1560060,2121090.25,2004954.25,2339007.5,2213108.75,2327990,2476558,2509288.8,1397810,620881.3333
3/6/2015,5,2017918.5,1486358,2107430,1993081.25,2168714.5,2104775.75,2215096,2364976.75,2444531.4,1402970.5,596967.3333
3/7/2015,5,1715553,1343584,2061123.25,1936636,2136523.75,1993898.4,2234391.25,2389192,2393465.8,1343334.5,570251
3/8/2015,5,1886420.4,1601876.25,2112610,1985352,2210163.5,2178242.4,2267660.25,2424259.25,2405289.4,1371696.5,601393.6667
3/9/2015,5,1804005.8,1284268.25,1949489.25,1824653.5,2168355.5,2101374.8,2217517.75,2372759.25,2313554.2,1250425.5,527320.6667
3/10/2015,5,1848217.6,1567714,1966727.25,1875222.25,2205605.25,2138469,2223048.75,2429931.5,2353476.8,1275677.25,538214.3333
3/11/2015,5,1865286.2,1541982.667,2032326,1906196.75,2221477,2146534.2,2223668.75,2424502,2364288.6,1295117,549092.3333
3/12/2015,5,1851145.6,1581633.333,2079605.25,1942142.5,2191888.75,2190195,2261160,2438996,2413468.2,1339080.5,569399
3/13/2015,5,1866132.8,1546898,2030297.75,1906218.25,2217118.75,2159841,2240244.75,2425646.75,2376421,1311563.5,556879.3333
