agency_cd	site_no	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va	stage_elv	ngvd29_navd88
USGS	6478526	1	1	2013	2021	8	19.94	1119.94	1120.593
USGS	6478526	1	2	2013	2021	8	20.04	1120.04	1120.693
USGS	6478526	1	3	2014	2021	7	20.22	1120.22	1120.873
USGS	6478526	1	4	2014	2021	7	20.35	1120.35	1121.003
USGS	6478526	1	5	2014	2021	8	20.37	1120.37	1121.023
USGS	6478526	1	6	2012	2021	8	20.12	1120.12	1120.773
USGS	6478526	1	7	2012	2021	8	20.26	1120.26	1120.913
USGS	6478526	1	8	2012	2021	9	20.41	1120.41	1121.063
USGS	6478526	1	9	2012	2021	9	20.38	1120.38	1121.033
USGS	6478526	1	10	2012	2020	8	20.63	1120.63	1121.283
USGS	6478526	1	11	2012	2020	8	20.17	1120.17	1120.823
USGS	6478526	1	12	2012	2021	9	19.98	1119.98	1120.633
USGS	6478526	1	13	2012	2021	9	20.05	1120.05	1120.703
USGS	6478526	1	14	2012	2020	8	20.21	1120.21	1120.863
USGS	6478526	1	15	2012	2021	10	20.17	1120.17	1120.823
USGS	6478526	1	16	2012	2021	9	20.04	1120.04	1120.693
USGS	6478526	1	17	2012	2021	9	19.92	1119.92	1120.573
USGS	6478526	1	18	2012	2021	10	20.06	1120.06	1120.713
USGS	6478526	1	19	2012	2021	8	19.79	1119.79	1120.443
USGS	6478526	1	20	2012	2021	8	19.8	1119.8	1120.453
USGS	6478526	1	21	2012	2021	8	19.74	1119.74	1120.393
USGS	6478526	1	22	2012	2021	8	19.93	1119.93	1120.583
USGS	6478526	1	23	2012	2021	8	19.84	1119.84	1120.493
USGS	6478526	1	24	2012	2021	9	19.93	1119.93	1120.583
USGS	6478526	1	25	2012	2021	8	19.9	1119.9	1120.553
USGS	6478526	1	26	2012	2021	9	19.85	1119.85	1120.503
USGS	6478526	1	27	2012	2021	9	19.66	1119.66	1120.313
USGS	6478526	1	28	2012	2021	10	19.75	1119.75	1120.403
USGS	6478526	1	29	2012	2021	10	19.72	1119.72	1120.373
USGS	6478526	1	30	2012	2021	10	19.7	1119.7	1120.353
USGS	6478526	1	31	2012	2021	10	19.66	1119.66	1120.313
USGS	6478526	2	1	2012	2021	10	19.69	1119.69	1120.343
USGS	6478526	2	2	2012	2021	10	19.71	1119.71	1120.363
USGS	6478526	2	3	2012	2021	10	19.66	1119.66	1120.313
USGS	6478526	2	4	2012	2021	10	19.5	1119.5	1120.153
USGS	6478526	2	5	2012	2021	10	19.51	1119.51	1120.163
USGS	6478526	2	6	2012	2021	10	19.6	1119.6	1120.253
USGS	6478526	2	7	2012	2021	10	19.65	1119.65	1120.303
USGS	6478526	2	8	2012	2021	10	19.7	1119.7	1120.353
USGS	6478526	2	9	2012	2021	10	19.72	1119.72	1120.373
USGS	6478526	2	10	2012	2021	10	19.73	1119.73	1120.383
USGS	6478526	2	11	2012	2021	10	19.73	1119.73	1120.383
USGS	6478526	2	12	2012	2021	9	19.66	1119.66	1120.313
USGS	6478526	2	13	2012	2021	9	19.65	1119.65	1120.303
USGS	6478526	2	14	2012	2021	9	19.64	1119.64	1120.293
