site_no	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va	date	stage_elv	begin_node	end_node	distance	slope	conversion_factor	node		
6479010	1	1	2018	2021	4	4.54	1/1/2015	1126.19	1122.878	1116.7518	4.14	0.8	3.312	begin		
6479010	1	2	2018	2021	4	4.63	1/2/2015	1126.28	1126.28	1116.8518	6.36					
6479010	1	3	2018	2021	4	4.63	1/3/2015	1126.28	1126.28	1117.0318	10.5			end	from end node calcs for missouri river	
6479010	1	4	2018	2021	4	4.52	1/4/2015	1126.17	1126.17	1117.1618						
6479010	1	5	2018	2021	4	4.48	1/5/2015	1126.13	1126.13	1117.1818		0.899047619				1118.1218
6479010	1	6	2018	2021	4	4.35	1/6/2015	1126	1126	1116.9318		1.1484				
6479010	1	7	2018	2021	4	4.33	1/7/2015	1125.98	1125.98	1117.0718		0.846495238				1119.0618
6479010	1	8	2018	2021	4	4.39	1/8/2015	1126.04	1126.04	1117.2218		0.246495238				1121.65
6479010	1	9	2018	2021	4	4.41	1/9/2015	1126.06	1126.06	1117.1918		0.785109524				
6479010	1	10	2018	2021	4	4.46	1/10/2015	1126.11	1126.11	1117.4418						
6479010	1	11	2018	2021	4	4.41	1/11/2015	1126.06	1126.06	1116.9818						
6479010	1	12	2018	2021	4	4.57	1/12/2015	1126.22	1126.22	1116.7918						
6479010	1	13	2018	2021	4	4.46	1/13/2015	1126.11	1126.11	1116.8618						
6479010	1	14	2018	2021	4	4.28	1/14/2015	1125.93	1125.93	1117.0218						
6479010	1	15	2018	2021	4	4.2	1/15/2015	1125.85	1125.85	1116.9818						
6479010	1	16	2018	2021	4	4.49	1/16/2015	1126.14	1126.14	1116.8518						
6479010	1	17	2018	2021	4	4.49	1/17/2015	1126.14	1126.14	1116.7318						
6479010	1	18	2018	2021	4	4.43	1/18/2015	1126.08	1126.08	1116.8718						
6479010	1	19	2018	2021	4	4.34	1/19/2015	1125.99	1125.99	1116.6018						
6479010	1	20	2018	2021	4	4.47	1/20/2015	1126.12	1126.12	1116.6118						
6479010	1	21	2018	2021	4	4.52	1/21/2015	1126.17	1126.17	1116.5518						
6479010	1	22	2018	2021	4	4.55	1/22/2015	1126.2	1126.2	1116.7418						
6479010	1	23	2018	2021	4	4.43	1/23/2015	1126.08	1126.08	1116.6518						
6479010	1	24	2018	2021	4	4.43	1/24/2015	1126.08	1126.08	1116.7418						
6479010	1	25	2018	2021	4	4.51	1/25/2015	1126.16	1126.16	1116.7118						
6479010	1	26	2018	2021	4	4.52	1/26/2015	1126.17	1126.17	1116.6618						
6479010	1	27	2018	2021	4	4.3	1/27/2015	1125.95	1125.95	1116.4718						
6479010	1	28	2018	2021	4	4.05	1/28/2015	1125.7	1125.7	1116.5618						
6479010	1	29	2018	2021	4	3.93	1/29/2015	1125.58	1125.58	1116.5318						
6479010	1	30	2018	2021	4	3.89	1/30/2015	1125.54	1125.54	1116.5118						
6479010	1	31	2018	2021	4	3.87	1/31/2015	1125.52	1125.52	1116.4718						
6479010	2	1	2018	2021	4	3.86	2/1/2015	1125.51	1125.51	1116.5018						
6479010	2	2	2018	2021	4	3.99	2/2/2015	1125.64	1125.64	1116.5218						
6479010	2	3	2018	2021	4	3.93	2/3/2015	1125.58	1125.58	1116.4718						
6479010	2	4	2018	2021	4	3.99	2/4/2015	1125.64	1125.64	1116.3118						
6479010	2	5	2018	2021	4	4.13	2/5/2015	1125.78	1125.78	1116.3218						
