agency_cd	site_no	datetime	43164_00060_00003	43164_00060_00003_cd
USGS	06486000	2015-03-01	20600	A
USGS	06486000	2015-03-02	20600	A
USGS	06486000	2015-03-03	20300	A
USGS	06486000	2015-03-04	20000	A
USGS	06486000	2015-03-05	18300	A
USGS	06486000	2015-03-06	18300	A
USGS	06486000	2015-03-07	18200	A
USGS	06486000	2015-03-08	18400	A
USGS	06486000	2015-03-09	18500	A
USGS	06486000	2015-03-10	18500	A
USGS	06486000	2015-03-11	18600	A
USGS	06486000	2015-03-12	18800	A
USGS	06486000	2015-03-13	19600	A
USGS	06486000	2015-03-14	20000	A
USGS	06486000	2015-03-15	19700	A
USGS	06486000	2015-03-16	19400	A
USGS	06486000	2015-03-17	19200	A
USGS	06486000	2015-03-18	21400	A
USGS	06486000	2015-03-19	24500	A
USGS	06486000	2015-03-20	27600	A
USGS	06486000	2015-03-21	28500	A
USGS	06486000	2015-03-22	28900	A
USGS	06486000	2015-03-23	30000	A
USGS	06486000	2015-03-24	30300	A
USGS	06486000	2015-03-25	30700	A
USGS	06486000	2015-03-26	30400	A
USGS	06486000	2015-03-27	30500	A
USGS	06486000	2015-03-28	30500	A
USGS	06486000	2015-03-29	30400	A
USGS	06486000	2015-03-30	30300	A
USGS	06486000	2015-03-31	30300	A
USGS	06486000	2015-04-01	30300	A
USGS	06486000	2015-04-02	30600	A
USGS	06486000	2015-04-03	30600	A
USGS	06486000	2015-04-04	30100	A
USGS	06486000	2015-04-05	29300	A
USGS	06486000	2015-04-06	29300	A
USGS	06486000	2015-04-07	29300	A
USGS	06486000	2015-04-08	29600	A
USGS	06486000	2015-04-09	30100	A
USGS	06486000	2015-04-10	29700	A
USGS	06486000	2015-04-11	28600	A
USGS	06486000	2015-04-12	27900	A
USGS	06486000	2015-04-13	28000	A
USGS	06486000	2015-04-14	27300	A
USGS	06486000	2015-04-15	25800	A
USGS	06486000	2015-04-16	26500	A
USGS	06486000	2015-04-17	26700	A
USGS	06486000	2015-04-18	26900	A
USGS	06486000	2015-04-19	27100	A
USGS	06486000	2015-04-20	26200	A
USGS	06486000	2015-04-21	24600	A
USGS	06486000	2015-04-22	24900	A
USGS	06486000	2015-04-23	25100	A
USGS	06486000	2015-04-24	24900	A
USGS	06486000	2015-04-25	25200	A
USGS	06486000	2015-04-26	25100	A
USGS	06486000	2015-04-27	25100	A
USGS	06486000	2015-04-28	25100	A
USGS	06486000	2015-04-29	25000	A
USGS	06486000	2015-04-30	25100	A
USGS	06486000	2015-05-01	26000	A
USGS	06486000	2015-05-02	26600	A
USGS	06486000	2015-05-03	26600	A
USGS	06486000	2015-05-04	26600	A
USGS	06486000	2015-05-05	26500	A
USGS	06486000	2015-05-06	25900	A
USGS	06486000	2015-05-07	26100	A
USGS	06486000	2015-05-08	26200	A
USGS	06486000	2015-05-09	28000	A
USGS	06486000	2015-05-10	30400	A
USGS	06486000	2015-05-11	32100	A
USGS	06486000	2015-05-12	32000	A
USGS	06486000	2015-05-13	32700	A
USGS	06486000	2015-05-14	32900	A
