Type,date,stage,discharge,Local Minimum,Fixed Interval,Sliding Interval
1,3/1/2015 1:00,1206.87,19022,,0.119999997,0
2,3/1/2015 2:00,1206.87,19022,0.129999995,0.119999997,0.129999995
3,3/1/2015 3:00,1206.89,19022,0.140000001,0.119999997,0.129999995
4,3/1/2015 4:00,1206.91,19070,0.140000001,0.129999995,0.129999995
5,3/1/2015 5:00,1206.89,19034,0.140000001,0.230000004,0.129999995
6,3/1/2015 6:00,1206.89,19033,0.140000001,0.209999993,0.129999995
7,3/1/2015 7:00,1206.91,19022,0.140000001,0.170000002,0.140000001
8,3/1/2015 8:00,1206.91,19058,0.140000001,0.150000006,0.140000001
9,3/1/2015 9:00,1206.91,19010,0.140000001,0.140000001,0.140000001
10,3/1/2015 10:00,1206.91,19046,0.140000001,0.140000001,0.140000001
11,3/1/2015 11:00,1206.91,18972,0.140000001,0.140000001,0.140000001
12,3/1/2015 12:00,1206.92,19034,0.149337932,0.140000001,0.189999998
13,3/1/2015 13:00,1206.92,19033,0.159298703,0.140000001,0.189999998
14,3/1/2015 14:00,1206.91,19094,0.169923842,0.189999998,0.189999998
15,3/1/2015 15:00,1206.91,19046,0.18125768,0.230000004,0.189999998
16,3/1/2015 16:00,1206.94,19022,0.193347469,0.219999999,0.189999998
17,3/1/2015 17:00,1206.94,18998,0.206243649,0.219999999,0.219999999
18,3/1/2015 18:00,1206.92,19057,0.219999999,0.219999999,0.219999999
19,3/1/2015 19:00,1206.94,19057,0.223862007,0.219999999,0.219999999
20,3/1/2015 20:00,1206.96,18948,0.227791801,0.219999999,0.219999999
21,3/1/2015 21:00,1206.94,18864,0.231790602,0.239999995,0.219999999
22,3/1/2015 22:00,1206.96,18961,0.235859573,0.239999995,0.239999995
23,3/1/2015 23:00,1206.96,18949,0.239999995,0.239999995,0.239999995
24,3/2/2015 0:00,1206.98,19022,0.289791256,0.239999995,0.239999995
25,3/2/2015 1:00,1206.98,19034,0.349912405,0.239999995,0.239999995
26,3/2/2015 2:00,1206.98,19009,0.422506511,0.379999995,0.239999995
27,3/2/2015 3:00,1206.98,19034,0.510161221,0.629999995,0.730000019
28,3/2/2015 4:00,1206.98,19034,0.616001129,0.629999995,0.730000019
29,3/2/2015 5:00,1207,19046,0.743798912,0.730000019,0.730000019
30,3/2/2015 6:00,1207,19070,0.898110151,6.300000191,0.730000019
31,3/2/2015 7:00,1207.02,19033,1.084435344,13,0.730000019
32,3/2/2015 8:00,1207,18973,1.309416175,9.399999619,6.699999809
33,3/2/2015 9:00,1207,19045,1.58107245,7.400000095,6.699999809
34,3/2/2015 10:00,1207.03,18913,1.90908742,6.699999809,6.699999809
35,3/2/2015 11:00,1207.05,18997,2.305153608,5.900000095,6.699999809
36,3/2/2015 12:00,1207.07,19022,2.783389091,5.099999905,6.699999809
37,3/2/2015 13:00,1207.05,18997,3.360841036,4.900000095,4.900000095
38,3/2/2015 14:00,1207.05,18985,4.058093548,4.900000095,4.900000095
39,3/2/2015 15:00,1207.06,18973,4.900000095,4.900000095,4.900000095
40,3/2/2015 16:00,1207.08,18961,4.9341259,4.900000095,4.900000095
41,3/2/2015 17:00,1207.07,18949,4.96848917,4.900000095,4.900000095
42,3/2/2015 18:00,1207.07,19009,5.003091335,5.599999905,12
43,3/2/2015 19:00,1207.07,18949,5.037935257,8.100000381,12
44,3/2/2015 20:00,1207.09,18949,5.073021412,12,12
45,3/2/2015 21:00,1207.07,18949,5.108351707,9.5,6.599999905
46,3/2/2015 22:00,1207.08,18900,5.143928528,8,6.599999905
47,3/2/2015 23:00,1207.07,18924,5.179752827,6.599999905,6.599999905
48,3/3/2015 0:00,1207.09,18973,5.215826988,6.199999809,6.599999905
49,3/3/2015 1:00,1207.09,18973,5.252151966,5.800000191,6.599999905
50,3/3/2015 2:00,1207.09,18985,5.288730145,5.5,5.400000095
51,3/3/2015 3:00,1207.07,18973,5.325562954,5.400000095,5.400000095
52,3/3/2015 4:00,1207.09,18973,5.362652302,5.400000095,5.400000095
53,3/3/2015 5:00,1207.09,18924,5.400000095,5.400000095,5.400000095
54,3/3/2015 6:00,1207.09,18960,5.400000095,5.400000095,5.400000095
55,3/3/2015 7:00,1207.12,18985,5.222906113,5.199999809,4.599999905
