agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,1,1,2014,2021,8,1/1/2015,745
USGS,6478513,60,294960,1,2,2014,2021,8,1/2/2015,745
USGS,6478513,60,294960,1,3,2014,2021,8,1/3/2015,740
USGS,6478513,60,294960,1,4,2014,2021,8,1/4/2015,732
USGS,6478513,60,294960,1,5,2014,2021,8,1/5/2015,723
USGS,6478513,60,294960,1,6,2014,2021,8,1/6/2015,718
USGS,6478513,60,294960,1,7,2014,2021,8,1/7/2015,709
USGS,6478513,60,294960,1,8,2014,2021,8,1/8/2015,704
USGS,6478513,60,294960,1,9,2014,2021,8,1/9/2015,693
USGS,6478513,60,294960,1,10,2014,2021,8,1/10/2015,688
USGS,6478513,60,294960,1,11,2014,2021,8,1/11/2015,679
USGS,6478513,60,294960,1,12,2014,2021,8,1/12/2015,677
USGS,6478513,60,294960,1,13,2014,2021,8,1/13/2015,672
USGS,6478513,60,294960,1,14,2014,2021,8,1/14/2015,667
USGS,6478513,60,294960,1,15,2014,2021,8,1/15/2015,661
USGS,6478513,60,294960,1,16,2014,2021,8,1/16/2015,656
USGS,6478513,60,294960,1,17,2014,2021,8,1/17/2015,651
USGS,6478513,60,294960,1,18,2014,2021,8,1/18/2015,649
USGS,6478513,60,294960,1,19,2014,2021,8,1/19/2015,648
USGS,6478513,60,294960,1,20,2014,2021,8,1/20/2015,649
USGS,6478513,60,294960,1,21,2014,2021,8,1/21/2015,648
USGS,6478513,60,294960,1,22,2014,2021,8,1/22/2015,650
USGS,6478513,60,294960,1,23,2014,2021,8,1/23/2015,652
USGS,6478513,60,294960,1,24,2014,2021,8,1/24/2015,653
USGS,6478513,60,294960,1,25,2014,2021,8,1/25/2015,657
USGS,6478513,60,294960,1,26,2014,2021,8,1/26/2015,660
USGS,6478513,60,294960,1,27,2014,2021,8,1/27/2015,661
USGS,6478513,60,294960,1,28,2014,2021,8,1/28/2015,664
USGS,6478513,60,294960,1,29,2014,2021,8,1/29/2015,666
USGS,6478513,60,294960,1,30,2014,2021,8,1/30/2015,662
USGS,6478513,60,294960,1,31,2014,2021,8,1/31/2015,651
USGS,6478513,60,294960,2,1,2014,2021,8,2/1/2015,642
USGS,6478513,60,294960,2,2,2014,2021,8,2/2/2015,634
USGS,6478513,60,294960,2,3,2014,2021,8,2/3/2015,630
USGS,6478513,60,294960,2,4,2014,2021,8,2/4/2015,625
USGS,6478513,60,294960,2,5,2014,2021,8,2/5/2015,616
USGS,6478513,60,294960,2,6,2014,2021,8,2/6/2015,609
USGS,6478513,60,294960,2,7,2014,2021,8,2/7/2015,597
USGS,6478513,60,294960,2,8,2014,2021,8,2/8/2015,585
USGS,6478513,60,294960,2,9,2014,2021,8,2/9/2015,574
USGS,6478513,60,294960,2,10,2014,2021,8,2/10/2015,562
USGS,6478513,60,294960,2,11,2014,2021,8,2/11/2015,554
USGS,6478513,60,294960,2,12,2014,2021,8,2/12/2015,552
USGS,6478513,60,294960,2,13,2014,2021,8,2/13/2015,566
USGS,6478513,60,294960,2,14,2014,2021,8,2/14/2015,606
USGS,6478513,60,294960,2,15,2014,2021,8,2/15/2015,655
