#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-05-05 16:26:14 EDT      (sdww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 06478513 JAMES RIVER NR YANKTON SD
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		294960	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	06478513	00060	294960	1	1	2014	2021	8	2020	4160	2015	125	745			189	209	266	370	1140		
USGS	06478513	00060	294960	1	2	2014	2021	8	2020	4160	2015	130	745			188	206	273	362	1130		
USGS	06478513	00060	294960	1	3	2014	2021	8	2020	4140	2015	130	740			184	203	268	354	1120		
USGS	06478513	00060	294960	1	4	2014	2021	8	2020	4110	2015	120	732			178	197	271	347	1110		
USGS	06478513	00060	294960	1	5	2014	2021	8	2020	4080	2015	115	723			174	193	263	344	1100		
USGS	06478513	00060	294960	1	6	2014	2021	8	2020	4040	2015	110	718			169	191	267	339	1080		
USGS	06478513	00060	294960	1	7	2014	2021	8	2020	4000	2015	105	709			165	185	266	333	1070		
USGS	06478513	00060	294960	1	8	2014	2021	8	2020	3980	2015	105	704			162	181	259	328	1060		
USGS	06478513	00060	294960	1	9	2014	2021	8	2020	3950	2015	100	693			158	174	246	325	1050		
USGS	06478513	00060	294960	1	10	2014	2021	8	2020	3920	2015	100	688			155	169	249	327	1050		
USGS	06478513	00060	294960	1	11	2014	2021	8	2020	3880	2015	95.0	679			147	162	243	327	1040		
USGS	06478513	00060	294960	1	12	2014	2021	8	2020	3870	2015	90.0	677			138	153	249	325	1040		
USGS	06478513	00060	294960	1	13	2014	2021	8	2020	3840	2015	90.0	672			138	153	250	320	1030		
USGS	06478513	00060	294960	1	14	2014	2021	8	2020	3810	2015	95.0	667			146	159	243	315	1020		
USGS	06478513	00060	294960	1	15	2014	2021	8	2020	3780	2015	100	661			145	157	237	311	1000		
USGS	06478513	00060	294960	1	16	2014	2021	8	2020	3760	2015	105	656			141	151	235	309	1000		
USGS	06478513	00060	294960	1	17	2014	2021	8	2020	3730	2015	110	651			134	143	235	307	996		
USGS	06478513	00060	294960	1	18	2014	2021	8	2020	3720	2015	110	649			134	142	229	311	994		
USGS	06478513	00060	294960	1	19	2014	2021	8	2020	3720	2015	115	648			127	135	226	314	996		
USGS	06478513	00060	294960	1	20	2014	2021	8	2020	3720	2015	115	649			127	134	226	317	999		
USGS	06478513	00060	294960	1	21	2014	2021	8	2020	3730	2015	110	648			126	133	217	322	1010		
USGS	06478513	00060	294960	1	22	2014	2021	8	2020	3780	2015	110	650			118	124	206	325	1020		
USGS	06478513	00060	294960	1	23	2014	2021	8	2020	3820	2015	100	652			116	123	201	325	1030		
