agency_cd,site_no,year_nu,lat,lon,month_nu,mean_va,stage_elv,ngvd29_nvd88,model_node,distance_maskel,slope,conversion_factor
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",2,18.493,1118.493,1119.146,1124.426,4,1.32,5.28
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",3,18.911,1118.911,1119.564,1124.844,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",4,19.406,1119.406,1120.059,1125.339,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",5,19.946,1119.946,1120.599,1125.879,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",6,20.304,1120.304,1120.957,1126.237,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",7,20.573,1120.573,1121.226,1126.506,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",8,21.246,1121.246,1121.899,1127.179,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",9,21.291,1121.291,1121.944,1127.224,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",10,21.127,1121.127,1121.78,1127.06,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",11,20.64,1120.64,1121.293,1126.573,,,
USGS,6478526,2012,"42?42'52.9""","á96?56'37""",12,17.977,1117.977,1118.63,1123.91,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",2,17.527,1117.527,1118.18,1123.46,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",3,18.43,1118.43,1119.083,1124.363,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",4,18.825,1118.825,1119.478,1124.758,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",5,19.125,1119.125,1119.778,1125.058,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",6,19.679,1119.679,1120.332,1125.612,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",7,20.229,1120.229,1120.882,1126.162,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",8,20.329,1120.329,1120.982,1126.262,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",9,21.355,1121.355,1122.008,1127.288,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",10,20.831,1120.831,1121.484,1126.764,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",11,20.701,1120.701,1121.354,1126.634,,,
USGS,6478526,2013,"42?42'52.9""","á96?56'37""",12,19.232,1119.232,1119.885,1125.165,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",1,21.264,1121.264,1121.917,1127.197,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",5,21.048,1121.048,1121.701,1126.981,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",6,20.301,1120.301,1120.954,1126.234,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",7,21.036,1121.036,1121.689,1126.969,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",8,21.257,1121.257,1121.91,1127.19,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",9,23.195,1123.195,1123.848,1129.128,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",10,23.431,1123.431,1124.084,1129.364,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",11,22.525,1122.525,1123.178,1128.458,,,
USGS,6478526,2014,"42?42'52.9""","á96?56'37""",12,19.533,1119.533,1120.186,1125.466,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",2,19.939,1119.939,1120.592,1125.872,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",3,20.148,1120.148,1120.801,1126.081,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",4,20.66,1120.66,1121.313,1126.593,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",5,21.134,1121.134,1121.787,1127.067,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",6,20.809,1120.809,1121.462,1126.742,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",7,21.216,1121.216,1121.869,1127.149,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",8,21.082,1121.082,1121.735,1127.015,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",10,21.34,1121.34,1121.993,1127.273,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",11,20.826,1120.826,1121.479,1126.759,,,
USGS,6478526,2015,"42?42'52.9""","á96?56'37""",12,19.359,1119.359,1120.012,1125.292,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",1,20.677,1120.677,1121.33,1126.61,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",2,19.692,1119.692,1120.345,1125.625,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",3,19.398,1119.398,1120.051,1125.331,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",4,20.101,1120.101,1120.754,1126.034,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",5,20.275,1120.275,1120.928,1126.208,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",6,20.906,1120.906,1121.559,1126.839,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",7,20.927,1120.927,1121.58,1126.86,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",8,20.972,1120.972,1121.625,1126.905,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",9,20.667,1120.667,1121.32,1126.6,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",10,20.597,1120.597,1121.25,1126.53,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",11,20.696,1120.696,1121.349,1126.629,,,
USGS,6478526,2016,"42?42'52.9""","á96?56'37""",12,20.322,1120.322,1120.975,1126.255,,,
USGS,6478526,2017,"42?42'52.9""","á96?56'37""",1,20.164,1120.164,1120.817,1126.097,,,
