agency_cd	site_no	year_nu	month_nu	mean_va
USGS	6478526	2012	2	18.493
USGS	6478526	2012	3	18.911
USGS	6478526	2012	4	19.406
USGS	6478526	2012	5	19.946
USGS	6478526	2012	6	20.304
USGS	6478526	2012	7	20.573
USGS	6478526	2012	8	21.246
USGS	6478526	2012	9	21.291
USGS	6478526	2012	10	21.127
USGS	6478526	2012	11	20.64
USGS	6478526	2012	12	17.977
USGS	6478526	2013	2	17.527
USGS	6478526	2013	3	18.43
USGS	6478526	2013	4	18.825
USGS	6478526	2013	5	19.125
USGS	6478526	2013	6	19.679
USGS	6478526	2013	7	20.229
USGS	6478526	2013	8	20.329
USGS	6478526	2013	9	21.355
USGS	6478526	2013	10	20.831
USGS	6478526	2013	11	20.701
USGS	6478526	2013	12	19.232
USGS	6478526	2014	1	21.264
USGS	6478526	2014	5	21.048
USGS	6478526	2014	6	20.301
USGS	6478526	2014	7	21.036
USGS	6478526	2014	8	21.257
USGS	6478526	2014	9	23.195
USGS	6478526	2014	10	23.431
USGS	6478526	2014	11	22.525
USGS	6478526	2014	12	19.533
USGS	6478526	2015	2	19.939
USGS	6478526	2015	3	20.148
USGS	6478526	2015	4	20.66
USGS	6478526	2015	5	21.134
USGS	6478526	2015	6	20.809
USGS	6478526	2015	7	21.216
USGS	6478526	2015	8	21.082
USGS	6478526	2015	10	21.34
USGS	6478526	2015	11	20.826
USGS	6478526	2015	12	19.359
USGS	6478526	2016	1	20.677
USGS	6478526	2016	2	19.692
USGS	6478526	2016	3	19.398
USGS	6478526	2016	4	20.101
USGS	6478526	2016	5	20.275
USGS	6478526	2016	6	20.906
USGS	6478526	2016	7	20.927
USGS	6478526	2016	8	20.972
USGS	6478526	2016	9	20.667
USGS	6478526	2016	10	20.597
USGS	6478526	2016	11	20.696
USGS	6478526	2016	12	20.322
USGS	6478526	2017	1	20.164
USGS	6478526	2017	2	19.742
USGS	6478526	2017	3	20.197
USGS	6478526	2017	4	21.437
USGS	6478526	2017	5	21.493
USGS	6478526	2017	6	22.068
USGS	6478526	2017	7	21.719
USGS	6478526	2017	8	21.617
USGS	6478526	2017	9	21.633
USGS	6478526	2017	10	21.357
USGS	6478526	2017	11	21.394
USGS	6478526	2017	12	20.642
USGS	6478526	2018	2	20.151
USGS	6478526	2018	3	20.82
USGS	6478526	2018	4	22.476
USGS	6478526	2018	5	23.241
USGS	6478526	2018	6	22.975
USGS	6478526	2018	7	24.139
USGS	6478526	2018	8	24.566
USGS	6478526	2018	9	24.525
USGS	6478526	2018	10	24.409
USGS	6478526	2018	11	24.279
USGS	6478526	2018	12	20.319
USGS	6478526	2019	1	20.582
USGS	6478526	2019	2	19.814
USGS	6478526	2019	4	24.969
USGS	6478526	2019	5	25.409
USGS	6478526	2019	6	26.184
USGS	6478526	2019	7	25.701
USGS	6478526	2019	8	25.907
USGS	6478526	2019	10	26.112
USGS	6478526	2020	3	21.454
USGS	6478526	2020	4	21.874
USGS	6478526	2020	5	21.347
USGS	6478526	2020	6	21.233
USGS	6478526	2020	7	20.808
USGS	6478526	2020	8	20.286
USGS	6478526	2020	9	20.588
USGS	6478526	2020	10	21.382
USGS	6478526	2021	2	19.817
USGS	6478526	2021	3	19.833
USGS	6478526	2021	4	21.438
USGS	6478526	2021	5	21.48
