Well,Date,Q,Q_all_wells
 09-1,7/1/2015,262905.0899,788715.2697
 09-1,7/2/2015,253993.053,761979.159
 09-1,7/3/2015,231712.9606,695138.8818
 09-1,7/4/2015,249537.0345,748611.1035
 09-1,7/5/2015,236168.9791,708506.9373
 09-1,7/6/2015,204976.8498,614930.5494
 09-1,7/7/2015,187152.7759,561458.3277
 09-1,7/8/2015,227256.9421,681770.8263
 09-1,7/9/2015,218344.9052,655034.7156
 09-1,7/10/2015,267361.1084,802083.3252
 09-1,7/11/2015,303009.2562,909027.7686
 09-1,7/12/2015,267361.1084,802083.3252
 09-1,7/13/2015,303009.2562,909027.7686
 09-1,7/14/2015,271817.1269,815451.3807
 09-1,7/15/2015,307465.2746,922395.8238
 09-1,7/16/2015,280729.1638,842187.4914
 09-1,7/17/2015,289641.2008,868923.6024
 09-1,7/18/2015,289641.2008,868923.6024
 09-1,7/19/2015,285185.1823,855555.5469
 09-1,7/20/2015,294097.2192,882291.6576
 09-1,7/21/2015,276273.1453,828819.4359
 09-1,7/22/2015,294097.2192,882291.6576
 09-1,7/23/2015,285185.1823,855555.5469
 09-1,7/24/2015,311921.2931,935763.8793
 09-1,7/25/2015,280729.1638,842187.4914
 09-1,7/26/2015,307465.2746,922395.8238
 09-1,7/27/2015,213888.8867,641666.6601
 09-1,7/28/2015,271817.1269,815451.3807
 09-1,7/29/2015,245081.016,735243.048
 09-1,7/30/2015,271817.1269,815451.3807
 09-1,7/31/2015,280729.1638,842187.4914
 07-4,7/1/2015,253993.053,761979.159
 07-4,7/2/2015,245081.016,735243.048
 07-4,7/3/2015,222800.9237,668402.7711
 07-4,7/4/2015,240624.9976,721874.9928
 07-4,7/5/2015,227256.9421,681770.8263
 07-4,7/6/2015,200520.8313,601562.4939
 07-4,7/7/2015,178240.7389,534722.2167
 07-4,7/8/2015,222800.9237,668402.7711
 07-4,7/9/2015,209432.8682,628298.6046
 07-4,7/10/2015,253993.053,761979.159
 07-4,7/11/2015,289641.2008,868923.6024
 07-4,7/12/2015,253993.053,761979.159
 07-4,7/13/2015,289641.2008,868923.6024
 07-4,7/14/2015,262905.0899,788715.2697
 07-4,7/15/2015,294097.2192,882291.6576
 07-4,7/16/2015,267361.1084,802083.3252
 07-4,7/17/2015,267361.1084,802083.3252
 07-4,7/18/2015,280729.1638,842187.4914
 07-4,7/19/2015,271817.1269,815451.3807
 07-4,7/20/2015,280729.1638,842187.4914
 07-4,7/21/2015,267361.1084,802083.3252
 07-4,7/22/2015,280729.1638,842187.4914
 07-4,7/23/2015,276273.1453,828819.4359
 07-4,7/24/2015,303009.2562,909027.7686
 07-4,7/25/2015,271817.1269,815451.3807
 07-4,7/26/2015,294097.2192,882291.6576
 07-4,7/27/2015,204976.8498,614930.5494
 07-4,7/28/2015,262905.0899,788715.2697
 07-4,7/29/2015,236168.9791,708506.9373
 07-4,7/30/2015,262905.0899,788715.2697
 07-4,7/31/2015,267361.1084,802083.3252
 03-1,7/1/2015,189826.387,949131.935
 03-1,7/2/2015,181805.5537,909027.7685
 03-1,7/3/2015,165763.8872,828819.436
 03-1,7/4/2015,176458.3315,882291.6575
 03-1,7/5/2015,171111.1094,855555.547
 03-1,7/6/2015,149722.2207,748611.1035
 03-1,7/7/2015,133680.5542,668402.771
 03-1,7/8/2015,155069.4429,775347.2145
 03-1,7/9/2015,157743.0539,788715.2695
 03-1,7/10/2015,189826.387,949131.935
 03-1,7/11/2015,216562.4978,1082812.489
 03-1,7/12/2015,189826.387,949131.935
 03-1,7/13/2015,216562.4978,1082812.489
 03-1,7/14/2015,197847.2202,989236.101
 03-1,7/15/2015,221909.72,1109548.6
 03-1,7/16/2015,197847.2202,989236.101
 03-1,7/17/2015,205868.0535,1029340.268
 03-1,7/18/2015,208541.6645,1042708.323
 03-1,7/19/2015,203194.4424,1015972.212
 03-1,7/20/2015,208541.6645,1042708.323
 03-1,7/21/2015,197847.2202,989236.101
 03-1,7/22/2015,208541.6645,1042708.323
 03-1,7/23/2015,205868.0535,1029340.268
 03-1,7/24/2015,224583.331,1122916.655
 03-1,7/25/2015,200520.8313,1002604.157
 03-1,7/26/2015,219236.1089,1096180.545
 03-1,7/27/2015,155069.4429,775347.2145
 03-1,7/28/2015,195173.6091,975868.0455
 03-1,7/29/2015,173784.7205,868923.6025
 03-1,7/30/2015,195173.6091,975868.0455
 03-1,7/31/2015,200520.8313,1002604.157
