well,type,date,head
R20-95-06,computed,7/1/2015 0:00,1119.787842
R20-95-06,computed,7/1/2015 2:24,1119.787842
R20-95-06,computed,7/1/2015 4:48,1119.787842
R20-95-06,computed,7/1/2015 7:12,1119.787842
R20-95-06,computed,7/1/2015 9:36,1119.787842
R20-95-06,computed,7/1/2015 12:00,1119.787842
R20-95-06,computed,7/1/2015 14:24,1119.787842
R20-95-06,computed,7/1/2015 16:48,1119.787842
R20-95-06,computed,7/1/2015 19:12,1119.787842
R20-95-06,computed,7/1/2015 21:36,1119.787842
R20-95-06,computed,7/2/2015 0:00,1119.787842
R20-95-06,computed,7/2/2015 2:24,1119.787842
R20-95-06,computed,7/2/2015 4:48,1119.787842
R20-95-06,computed,7/2/2015 7:12,1119.787842
R20-95-06,computed,7/2/2015 9:36,1119.787842
R20-95-06,computed,7/2/2015 12:00,1119.787842
R20-95-06,computed,7/2/2015 14:24,1119.787842
R20-95-06,computed,7/2/2015 16:48,1119.787842
R20-95-06,computed,7/2/2015 19:12,1119.787842
R20-95-06,computed,7/2/2015 21:36,1119.787842
R20-95-06,computed,7/3/2015 0:00,1119.787842
R20-95-06,computed,7/3/2015 2:24,1119.787842
R20-95-06,computed,7/3/2015 4:48,1119.787842
R20-95-06,computed,7/3/2015 7:11,1119.787842
R20-95-06,computed,7/3/2015 9:35,1119.787842
R20-95-06,computed,7/3/2015 11:59,1119.787842
R20-95-06,computed,7/3/2015 14:23,1119.787842
R20-95-06,computed,7/3/2015 16:47,1119.787842
R20-95-06,computed,7/3/2015 19:11,1119.787842
R20-95-06,computed,7/3/2015 21:35,1119.787842
R20-95-06,computed,7/3/2015 23:59,1119.787842
R20-95-06,computed,7/4/2015 2:23,1119.787842
R20-95-06,computed,7/4/2015 4:47,1119.787842
R20-95-06,computed,7/4/2015 7:11,1119.787842
R20-95-06,computed,7/4/2015 9:35,1119.787842
R20-95-06,computed,7/4/2015 11:59,1119.787842
R20-95-06,computed,7/4/2015 14:23,1119.787842
R20-95-06,computed,7/4/2015 16:47,1119.787842
R20-95-06,computed,7/4/2015 19:11,1119.787842
R20-95-06,computed,7/4/2015 21:35,1119.787842
R20-95-06,computed,7/4/2015 23:59,1119.787842
