type,time,flow
vermillion river,7/1/2015 0:00,-118080.844
vermillion river,7/1/2015 2:24,-120353.75
vermillion river,7/1/2015 4:48,-120367.82
vermillion river,7/1/2015 7:12,-120370.711
vermillion river,7/1/2015 9:36,-120371.883
vermillion river,7/1/2015 12:00,-120372.289
vermillion river,7/1/2015 14:24,-120372.555
vermillion river,7/1/2015 16:48,-120372.578
vermillion river,7/1/2015 19:12,-120372.594
vermillion river,7/1/2015 21:36,-120372.602
vermillion river,7/2/2015 0:00,-120372.609
vermillion river,7/2/2015 2:24,-120372.609
vermillion river,7/2/2015 4:48,-120372.594
vermillion river,7/2/2015 7:12,-120372.586
vermillion river,7/2/2015 9:36,-120372.539
vermillion river,7/2/2015 12:00,-120372.523
vermillion river,7/2/2015 14:24,-120372.539
vermillion river,7/2/2015 16:48,-120372.5
vermillion river,7/2/2015 19:12,-120372.5
vermillion river,7/2/2015 21:36,-120372.508
vermillion river,7/3/2015 0:00,-120372.531
vermillion river,7/3/2015 2:24,-120372.531
vermillion river,7/3/2015 4:48,-120372.531
vermillion river,7/3/2015 7:11,-120372.531
vermillion river,7/3/2015 9:35,-120372.508
vermillion river,7/3/2015 11:59,-120372.508
vermillion river,7/3/2015 14:23,-120372.539
vermillion river,7/3/2015 16:47,-120372.5
vermillion river,7/3/2015 19:11,-120372.5
vermillion river,7/3/2015 21:35,-120372.508
vermillion river,7/3/2015 23:59,-120372.531
vermillion river,7/4/2015 2:23,-120372.531
vermillion river,7/4/2015 4:47,-120372.531
vermillion river,7/4/2015 7:11,-120372.531
vermillion river,7/4/2015 9:35,-120372.508
vermillion river,7/4/2015 11:59,-120372.508
vermillion river,7/4/2015 14:23,-120372.539
vermillion river,7/4/2015 16:47,-120372.5
vermillion river,7/4/2015 19:11,-120372.5
vermillion river,7/4/2015 21:35,-120372.508
vermillion river,7/4/2015 23:59,-120372.531
vermillion river,7/5/2015 2:23,-120372.531
vermillion river,7/5/2015 4:47,-120372.531
vermillion river,7/5/2015 7:11,-120372.531
vermillion river,7/5/2015 9:35,-120372.508
vermillion river,7/5/2015 11:59,-120372.508
vermillion river,7/5/2015 14:23,-120372.539
vermillion river,7/5/2015 16:47,-120372.5
vermillion river,7/5/2015 19:11,-120372.5
vermillion river,7/5/2015 21:35,-120372.508
vermillion river,7/5/2015 23:59,-120372.531
vermillion river,7/6/2015 2:23,-120372.531
vermillion river,7/6/2015 4:47,-120372.531
vermillion river,7/6/2015 7:11,-120372.539
vermillion river,7/6/2015 9:35,-120372.508
vermillion river,7/6/2015 11:59,-120372.508
vermillion river,7/6/2015 14:23,-120372.539
vermillion river,7/6/2015 16:47,-120372.5
vermillion river,7/6/2015 19:11,-120372.5
vermillion river,7/6/2015 21:35,-120372.523
vermillion river,7/6/2015 23:59,-120372.563
vermillion river,7/7/2015 2:23,-120372.563
vermillion river,7/7/2015 4:47,-120372.563
vermillion river,7/7/2015 7:11,-120372.563
vermillion river,7/7/2015 9:35,-120372.555
vermillion river,7/7/2015 11:59,-120372.555
vermillion river,7/7/2015 14:23,-120372.594
vermillion river,7/7/2015 16:47,-120372.594
vermillion river,7/7/2015 19:11,-120372.609
vermillion river,7/7/2015 21:35,-120372.617
vermillion river,7/7/2015 23:59,-120372.734
vermillion river,7/8/2015 2:23,-120372.75
vermillion river,7/8/2015 4:47,-120372.75
vermillion river,7/8/2015 7:11,-120372.875
vermillion river,7/8/2015 9:35,-120373.039
vermillion river,7/8/2015 11:59,-120373.18
vermillion river,7/8/2015 14:23,-120373.234
vermillion river,7/8/2015 16:47,-120373.281
vermillion river,7/8/2015 19:11,-120373.367
vermillion river,7/8/2015 21:35,-120373.445
vermillion river,7/8/2015 23:59,-120373.641
vermillion river,7/9/2015 2:23,-120373.828
vermillion river,7/9/2015 4:47,-120374.125
vermillion river,7/9/2015 7:11,-120374.391
vermillion river,7/9/2015 9:35,-120374.594
vermillion river,7/9/2015 11:59,-120374.969
