STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/1/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/2/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/3/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/4/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/5/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/6/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/7/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/8/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/9/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/10/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/11/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/12/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/13/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/14/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/15/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/16/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/17/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/18/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/19/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/20/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/21/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/22/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/23/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/24/2015,0.19,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/25/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/26/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/27/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/28/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/29/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/30/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,3/31/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/1/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/2/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/3/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/4/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/5/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/6/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/7/2015,0.05,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/8/2015,0.02,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/9/2015,0.54,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/10/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/11/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/12/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/13/2015,0.23,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/14/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/15/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/16/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/17/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/18/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/19/2015,0.5,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/20/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/21/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/22/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/23/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/24/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/25/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/26/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/27/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/28/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/29/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,4/30/2015,0,0,0
USC00398622,"VERMILLION 2 SE, SD US",42.7625,-96.9194,346.6,5/1/2015,0.18,0,0
