agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,1,1,2014,2021,8,1/1/2015,157
USGS,6479010,60,128843,1,2,2014,2021,8,1/2/2015,155
USGS,6479010,60,128843,1,3,2014,2021,8,1/3/2015,154
USGS,6479010,60,128843,1,4,2014,2021,8,1/4/2015,153
USGS,6479010,60,128843,1,5,2014,2021,8,1/5/2015,153
USGS,6479010,60,128843,1,6,2014,2021,8,1/6/2015,154
USGS,6479010,60,128843,1,7,2014,2021,8,1/7/2015,153
USGS,6479010,60,128843,1,8,2014,2021,8,1/8/2015,152
USGS,6479010,60,128843,1,9,2014,2021,8,1/9/2015,149
USGS,6479010,60,128843,1,10,2014,2021,8,1/10/2015,147
USGS,6479010,60,128843,1,11,2014,2021,8,1/11/2015,147
USGS,6479010,60,128843,1,12,2014,2021,8,1/12/2015,147
USGS,6479010,60,128843,1,13,2014,2021,8,1/13/2015,148
USGS,6479010,60,128843,1,14,2014,2021,8,1/14/2015,149
USGS,6479010,60,128843,1,15,2014,2021,8,1/15/2015,147
USGS,6479010,60,128843,1,16,2014,2021,8,1/16/2015,145
USGS,6479010,60,128843,1,17,2014,2021,8,1/17/2015,143
USGS,6479010,60,128843,1,18,2014,2021,8,1/18/2015,142
USGS,6479010,60,128843,1,19,2014,2021,8,1/19/2015,140
USGS,6479010,60,128843,1,20,2014,2021,8,1/20/2015,139
USGS,6479010,60,128843,1,21,2014,2021,8,1/21/2015,139
USGS,6479010,60,128843,1,22,2014,2021,8,1/22/2015,138
USGS,6479010,60,128843,1,23,2014,2021,8,1/23/2015,137
USGS,6479010,60,128843,1,24,2014,2021,8,1/24/2015,137
USGS,6479010,60,128843,1,25,2014,2021,8,1/25/2015,136
USGS,6479010,60,128843,1,26,2014,2021,8,1/26/2015,134
USGS,6479010,60,128843,1,27,2014,2021,8,1/27/2015,133
USGS,6479010,60,128843,1,28,2014,2021,8,1/28/2015,132
USGS,6479010,60,128843,1,29,2014,2021,8,1/29/2015,131
USGS,6479010,60,128843,1,30,2014,2021,8,1/30/2015,130
USGS,6479010,60,128843,1,31,2014,2021,8,1/31/2015,129
USGS,6479010,60,128843,2,1,2014,2021,8,2/1/2015,127
USGS,6479010,60,128843,2,2,2014,2021,8,2/2/2015,126
USGS,6479010,60,128843,2,3,2014,2021,8,2/3/2015,131
USGS,6479010,60,128843,2,4,2014,2021,8,2/4/2015,138
USGS,6479010,60,128843,2,5,2014,2021,8,2/5/2015,137
USGS,6479010,60,128843,2,6,2014,2021,8,2/6/2015,133
USGS,6479010,60,128843,2,7,2014,2021,8,2/7/2015,130
USGS,6479010,60,128843,2,8,2014,2021,8,2/8/2015,130
USGS,6479010,60,128843,2,9,2014,2021,8,2/9/2015,133
USGS,6479010,60,128843,2,10,2014,2021,8,2/10/2015,134
USGS,6479010,60,128843,2,11,2014,2021,8,2/11/2015,131
USGS,6479010,60,128843,2,12,2014,2021,8,2/12/2015,128
USGS,6479010,60,128843,2,13,2014,2021,8,2/13/2015,129
USGS,6479010,60,128843,2,14,2014,2021,8,2/14/2015,135
USGS,6479010,60,128843,2,15,2014,2021,8,2/15/2015,143
USGS,6479010,60,128843,2,16,2014,2021,8,2/16/2015,151
USGS,6479010,60,128843,2,17,2014,2021,8,2/17/2015,155
USGS,6479010,60,128843,2,18,2014,2021,8,2/18/2015,161
USGS,6479010,60,128843,2,19,2014,2021,8,2/19/2015,170
USGS,6479010,60,128843,2,20,2014,2021,8,2/20/2015,229
USGS,6479010,60,128843,2,21,2014,2021,8,2/21/2015,336
USGS,6479010,60,128843,2,22,2014,2021,8,2/22/2015,387
USGS,6479010,60,128843,2,23,2014,2021,8,2/23/2015,429
USGS,6479010,60,128843,2,24,2014,2021,8,2/24/2015,448
USGS,6479010,60,128843,2,25,2014,2021,8,2/25/2015,440
USGS,6479010,60,128843,2,26,2014,2021,8,2/26/2015,393
USGS,6479010,60,128843,2,27,2014,2021,8,2/27/2015,360
USGS,6479010,60,128843,2,28,2014,2021,8,2/28/2015,363
USGS,6479010,60,128843,2,29,2016,2020,2,3/1/2015,1100
USGS,6479010,60,128843,3,1,2014,2021,8,3/1/2015,356
USGS,6479010,60,128843,3,2,2014,2021,8,3/2/2015,334
USGS,6479010,60,128843,3,3,2014,2021,8,3/3/2015,346
USGS,6479010,60,128843,3,4,2014,2021,8,3/4/2015,383
