#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-05-05 16:21:09 EDT      (sdww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 06479010 VERMILLION RIVER NR VERMILLION,SD
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		128843	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	06479010	00060	128843	1	1	2014	2021	8	2020	406	2014	15.0	157			31	36	141	265	313		
USGS	06479010	00060	128843	1	2	2014	2021	8	2020	399	2014	14.0	155			31	37	140	262	311		
USGS	06479010	00060	128843	1	3	2014	2021	8	2020	392	2014	15.0	154			33	38	139	262	309		
USGS	06479010	00060	128843	1	4	2014	2021	8	2020	389	2014	15.0	153			34	39	134	263	310		
USGS	06479010	00060	128843	1	5	2014	2021	8	2020	385	2014	14.0	153			34	39	137	266	313		
USGS	06479010	00060	128843	1	6	2014	2021	8	2020	381	2014	13.0	154			33	39	134	272	315		
USGS	06479010	00060	128843	1	7	2014	2021	8	2020	376	2014	14.0	153			32	38	131	276	319		
USGS	06479010	00060	128843	1	8	2014	2021	8	2020	370	2014	15.0	152			33	39	129	280	324		
USGS	06479010	00060	128843	1	9	2014	2021	8	2020	366	2014	16.0	149			32	38	126	279	328		
USGS	06479010	00060	128843	1	10	2014	2021	8	2020	364	2014	17.0	147			32	39	122	275	325		
USGS	06479010	00060	128843	1	11	2014	2021	8	2020	363	2014	18.0	147			32	39	121	273	324		
USGS	06479010	00060	128843	1	12	2014	2021	8	2020	361	2014	19.0	147			32	39	119	276	323		
USGS	06479010	00060	128843	1	13	2014	2021	8	2020	360	2014	20.0	148			31	39	118	278	323		
USGS	06479010	00060	128843	1	14	2014	2021	8	2020	355	2014	20.0	149			32	40	118	277	318		
USGS	06479010	00060	128843	1	15	2014	2021	8	2020	353	2014	19.0	147			33	41	118	271	311		
USGS	06479010	00060	128843	1	16	2014	2021	8	2020	353	2014	19.0	145			35	42	118	261	303		
USGS	06479010	00060	128843	1	17	2014	2021	8	2020	353	2014	19.0	143			37	44	119	252	297		
USGS	06479010	00060	128843	1	18	2014	2021	8	2020	353	2014	20.0	142			39	45	120	247	295		
USGS	06479010	00060	128843	1	19	2014	2021	8	2020	351	2014	21.0	140			41	46	116	241	288		
USGS	06479010	00060	128843	1	20	2014	2021	8	2020	349	2014	20.0	139			39	45	116	237	282		
USGS	06479010	00060	128843	1	21	2014	2021	8	2020	347	2014	19.0	139			38	44	116	237	281		
USGS	06479010	00060	128843	1	22	2014	2021	8	2020	345	2014	18.0	138			37	44	116	236	280		
USGS	06479010	00060	128843	1	23	2014	2021	8	2020	345	2014	17.0	137			36	43	115	231	274		
USGS	06479010	00060	128843	1	24	2014	2021	8	2020	345	2014	18.0	137			35	43	120	226	269		
USGS	06479010	00060	128843	1	25	2014	2021	8	2020	345	2014	19.0	136			34	42	119	220	263		
USGS	06479010	00060	128843	1	26	2014	2021	8	2020	345	2014	19.0	134			34	41	118	208	251		
USGS	06479010	00060	128843	1	27	2014	2021	8	2020	345	2014	17.0	133			33	41	117	206	247		
USGS	06479010	00060	128843	1	28	2014	2021	8	2020	345	2014	16.0	132			32	40	115	202	242		
USGS	06479010	00060	128843	1	29	2014	2021	8	2020	346	2014	17.0	131			32	40	113	199	239		
USGS	06479010	00060	128843	1	30	2014	2021	8	2020	350	2014	18.0	130			32	39	111	195	235		
USGS	06479010	00060	128843	1	31	2014	2021	8	2020	358	2014	18.0	129			32	38	109	187	228		
USGS	06479010	00060	128843	2	1	2014	2021	8	2020	367	2014	17.0	127			31	37	106	178	223		
USGS	06479010	00060	128843	2	2	2014	2021	8	2020	371	2014	15.0	126			30	37	103	175	218		
USGS	06479010	00060	128843	2	3	2014	2021	8	2020	379	2014	14.0	131			30	37	101	194	236		
USGS	06479010	00060	128843	2	4	2014	2021	8	2020	393	2014	13.0	138			31	37	98	236	287		
USGS	06479010	00060	128843	2	5	2014	2021	8	2020	404	2014	12.0	137			30	37	97	222	273		
USGS	06479010	00060	128843	2	6	2014	2021	8	2020	409	2014	11.0	133			30	37	95	194	242		
USGS	06479010	00060	128843	2	7	2014	2021	8	2020	414	2014	11.0	130			29	38	93	179	232		
USGS	06479010	00060	128843	2	8	2014	2021	8	2020	415	2014	10.0	130			29	40	92	181	239		
USGS	06479010	00060	128843	2	9	2014	2021	8	2020	410	2014	9.50	133			28	42	94	188	242		
USGS	06479010	00060	128843	2	10	2014	2021	8	2020	404	2014	10.0	134			28	42	97	189	240		
USGS	06479010	00060	128843	2	11	2014	2021	8	2020	400	2014	11.0	131			29	42	96	181	233		
USGS	06479010	00060	128843	2	12	2014	2021	8	2020	402	2014	11.0	128			28	40	100	169	223		
USGS	06479010	00060	128843	2	13	2014	2021	8	2020	408	2014	12.0	129			28	40	98	165	217		
USGS	06479010	00060	128843	2	14	2014	2021	8	2020	418	2014	11.0	135			27	40	103	180	232		
USGS	06479010	00060	128843	2	15	2014	2021	8	2020	422	2014	13.0	143			27	38	108	225	284		
USGS	06479010	00060	128843	2	16	2014	2021	8	2020	411	2014	14.0	151			26	37	102	286	346		
USGS	06479010	00060	128843	2	17	2014	2021	8	2017	402	2014	15.0	155			26	35	96	336	399		
USGS	06479010	00060	128843	2	18	2014	2021	8	2017	463	2014	16.0	161			25	33	93	334	409		
USGS	06479010	00060	128843	2	19	2014	2021	8	2017	511	2014	18.0	170			25	32	90	341	418		
USGS	06479010	00060	128843	2	20	2014	2021	8	2016	617	2014	17.0	229			23	32	88	508	559		
USGS	06479010	00060	128843	2	21	2014	2021	8	2016	1470	2014	17.0	336			23	31	87	515	739		
USGS	06479010	00060	128843	2	22	2014	2021	8	2016	1880	2014	16.0	387			22	30	85	517	822		
USGS	06479010	00060	128843	2	23	2014	2021	8	2016	2220	2014	15.0	429			22	30	82	515	882		
USGS	06479010	00060	128843	2	24	2014	2021	8	2016	2310	2014	14.0	448			23	31	79	516	879		
USGS	06479010	00060	128843	2	25	2014	2021	8	2016	2190	2014	12.0	440			24	33	80	575	924		
USGS	06479010	00060	128843	2	26	2014	2021	8	2016	1810	2014	11.0	393			26	34	80	601	888		
USGS	06479010	00060	128843	2	27	2014	2021	8	2016	1470	2014	11.0	360			28	36	82	646	864		
USGS	06479010	00060	128843	2	28	2014	2021	8	2016	1410	2014	11.0	363			31	39	81	700	905		
USGS	06479010	00060	128843	2	29	2016	2020	2	2016	1430	2020	773	1100					1100				
USGS	06479010	00060	128843	3	1	2014	2021	8	2016	1310	2014	10.0	356			36	44	81	731	920		
USGS	06479010	00060	128843	3	2	2014	2021	8	2016	1050	2014	9.00	334			42	50	81	794	940		
USGS	06479010	00060	128843	3	3	2014	2021	8	2020	1200	2014	8.00	346			42	53	88	751	932		
